Unnamed: 0,DET,GNB
First Downs,25,15
Rush-Yds-TDs,43-211-3,12-27-1
Cmp-Att-Yd-TD-INT,19-28-210-1-1,23-36-246-1-2
Sacked-Yards,2-20,5-43
Net Pass Yards,190,203
Total Yards,401,230
Fumbles-Lost,0-0,2-0
Turnovers,1,2
Penalties-Yards,8-70,4-31
Third Down Conv.,7-17,3-11
Fourth Down Conv.,2-2,1-1
Time of Possession,37:58,22:02
