Unnamed: 0,CLE,BAL
First Downs,18,17
Rush-Yds-TDs,24-113-2,44-160-2
Cmp-Att-Yd-TD-INT,22-27-258-0-0,9-16-120-0-0
Sacked-Yards,5-35,3-26
Net Pass Yards,223,94
Total Yards,336,254
Fumbles-Lost,3-2,1-1
Turnovers,2,1
Penalties-Yards,6-45,3-53
Third Down Conv.,2-11,7-15
Fourth Down Conv.,1-1,2-2
Time of Possession,25:56,34:04
