Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CLE 25,0,0,Nick Chubb left guard for 5 yards (tackle by Travis Jones and Patrick Queen),0.610,0.740
1,14:24,2,5,CLE 30,0,0,Jacoby Brissett pass complete short middle to Nick Chubb for 14 yards (tackle by Josh Bynes and Marlon Humphrey),0.740,1.860
1,13:44,1,10,CLE 44,0,0,Nick Chubb left end for 2 yards (tackle by Calais Campbell),1.860,1.590
1,13:10,2,8,CLE 46,0,0,Jacoby Brissett pass complete short middle to Harrison Bryant for 14 yards (tackle by Kristian Welch),1.590,2.920
1,12:34,1,10,BAL 40,0,0,Jacoby Brissett pass complete short right to David Njoku for 22 yards (tackle by Chuck Clark),2.920,4.370
1,12:00,1,10,BAL 18,0,0,Nick Chubb left end for 3 yards (tackle by Devon Kennard),4.370,4.150
1,11:19,2,8,BAL 15,0,0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 2 yards (tackle by Marlon Humphrey),4.150,3.820
1,10:34,3,5,BAL 13,0,0,Jacoby Brissett pass complete short right to David Njoku for 4 yards (tackle by Patrick Queen),3.820,2.980
1,10:07,4,1,BAL 9,0,0,Jacoby Brissett up the middle for 1 yard (tackle by Jason Pierre-Paul),2.980,5.370
1,9:13,1,8,BAL 8,0,0,Nick Chubb left end for 6 yards (tackle by Geno Stone and Malik Harrison),5.370,5.720
1,8:33,2,2,BAL 2,6,0,"Nick Chubb right end for 2 yards, touchdown",5.720,7.000
1,8:23,,,BAL 15,7,0,Cade York kicks extra point good,0.000,0.000
1,8:23,,,CLE 35,7,0,"Cade York kicks off 65 yards, touchback.",0.000,0.610
1,8:23,1,10,BAL 25,7,0,Gus Edwards right tackle for 4 yards (tackle by Jacob Phillips),0.610,0.600
1,7:41,2,6,BAL 29,7,0,Gus Edwards left tackle for 3 yards (tackle by Jeremiah Owusu-Koramoah and Sione Takitaki),0.600,0.300
1,7:10,3,3,BAL 32,7,0,Gus Edwards right tackle for 12 yards (tackle by Jordan Elliott and John Johnson),0.300,1.860
1,6:25,1,10,BAL 44,7,0,Kenyan Drake right guard for 4 yards (tackle by Grant Delpit),1.860,1.860
1,5:41,2,6,BAL 48,7,0,Lamar Jackson pass complete deep right to Devin Duvernay for 31 yards (tackle by Martin Emerson),1.860,4.170
1,5:02,1,10,CLE 21,7,0,Kenyan Drake left tackle for 1 yard (tackle by Sione Takitaki and Tommy Togiai),4.170,3.760
1,4:23,2,9,CLE 20,7,0,Gus Edwards up the middle for 6 yards (tackle by Greedy Williams and Grant Delpit),3.760,4.020
1,3:39,3,3,CLE 14,7,0,Lamar Jackson pass incomplete short left intended for Mark Andrews,4.020,2.610
1,3:31,4,3,CLE 14,7,3,Justin Tucker 32 yard field goal good,2.610,3.000
1,3:27,,,BAL 35,7,3,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,3:27,1,10,CLE 25,7,3,Jacoby Brissett pass complete deep left to Amari Cooper for 55 yards (tackle by Geno Stone),0.610,4.240
1,2:49,1,10,BAL 20,7,3,Nick Chubb left guard for no gain (tackle by Broderick Washington),4.240,3.690
1,2:09,2,10,BAL 20,7,3,"Penalty on Jedrick Wills: False Start, 5 yards (accepted) (no play)",3.690,3.020
1,1:52,2,15,BAL 25,7,3,Jacoby Brissett pass complete short middle to David Njoku for 10 yards (tackle by Patrick Queen and Kyle Hamilton),3.020,3.700
1,1:07,3,5,BAL 15,7,3,Jacoby Brissett sacked by Kyle Hamilton for -8 yards,3.700,1.930
1,0:25,4,13,BAL 23,10,3,Cade York 41 yard field goal good,1.930,3.000
1,0:18,,,CLE 35,10,3,"Cade York kicks off 65 yards, touchback.",0.000,0.610
1,0:18,1,10,BAL 25,10,3,Lamar Jackson pass incomplete short right intended for Gus Edwards,0.610,0.060
1,0:12,2,10,BAL 25,10,3,Lamar Jackson sacked by Myles Garrett for -7 yards,0.060,-1.720
Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,17,BAL 18,10,3,"Lamar Jackson scrambles left end for 7 yards (tackle by Ronnie Harrison) CLE challenged the runner was down by contact ruling, and the play was upheld.",-1.720,-1.700
2,14:17,4,10,BAL 25,10,3,"Jordan Stout punts 69 yards, returned by Donovan Peoples-Jones for 6 yards (tackle by Geno Stone)",-1.700,0.350
2,14:06,1,10,CLE 12,10,3,Kareem Hunt left end for -5 yards (tackle by Patrick Queen),-0.350,-1.150
2,13:28,2,15,CLE 7,10,3,Kareem Hunt up the middle for -4 yards (tackle by Patrick Queen),-1.150,-2.470
2,12:48,3,19,CLE 3,10,3,Kareem Hunt left tackle for 5 yards (tackle by Odafe Oweh and Calais Campbell),-2.470,-2.490
2,12:04,4,14,CLE 8,10,3,"Corey Bojorquez punts 59 yards, returned by Devin Duvernay for 46 yards (tackle by Sione Takitaki)",-2.490,-4.170
2,11:43,1,10,CLE 21,10,3,Gus Edwards right tackle for 5 yards (tackle by Jacob Phillips),4.170,4.370
2,10:58,2,5,CLE 16,10,3,Gus Edwards right tackle for no gain (tackle by Myles Garrett),4.370,3.630
2,10:12,3,5,CLE 16,10,3,Lamar Jackson pass incomplete short middle intended for Kenyan Drake (defended by Jeremiah Owusu-Koramoah),3.630,2.430
2,10:09,4,5,CLE 16,10,6,Justin Tucker 34 yard field goal good,2.430,3.000
2,10:05,,,BAL 35,10,6,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,10:05,1,10,CLE 25,10,6,Nick Chubb left guard for 2 yards (tackle by Calais Campbell),0.610,0.330
2,9:32,2,8,CLE 27,10,6,"Jacoby Brissett pass complete to Pharaoh Brown for no gain (tackle by Geno Stone and Brent Urban). Penalty on Jedrick Wills: Offensive Holding, 10 yards (accepted) (no play)",0.330,-1.150
2,9:01,2,18,CLE 17,10,6,Jacoby Brissett pass incomplete short right,-1.150,-1.930
2,8:55,3,18,CLE 17,10,6,Jacoby Brissett pass complete short right to David Njoku for 7 yards (tackle by Damarion Williams and Patrick Queen),-1.930,-1.770
2,8:20,4,11,CLE 24,10,6,"Corey Bojorquez punts 76 yards, touchback.",-1.770,-0.280
2,8:08,1,10,BAL 20,10,6,Kenyan Drake left guard for -2 yards (tackle by Alex Wright),0.280,-0.630
2,7:28,2,12,BAL 18,10,6,Lamar Jackson pass complete short middle to Patrick Ricard for 1 yard (tackle by Greg Newsome),-0.630,-1.140
2,6:45,3,11,BAL 19,10,6,Lamar Jackson pass complete short right to Rashod Bateman for 26 yards (tackle by Greedy Williams),-1.140,1.930
2,6:08,1,10,BAL 45,10,6,Gus Edwards left tackle for 2 yards (tackle by Alex Wright),1.930,1.650
2,5:28,2,8,BAL 47,10,6,Gus Edwards right end for 6 yards (tackle by Jeremiah Owusu-Koramoah and Jordan Elliott),1.650,1.750
2,4:48,3,2,CLE 47,10,6,Lamar Jackson up the middle for 10 yards (tackle by Deion Jones),1.750,3.120
2,4:04,1,10,CLE 37,10,6,Gus Edwards right end for 4 yards (tackle by Myles Garrett),3.120,3.110
2,3:23,2,6,CLE 33,10,6,Lamar Jackson pass complete short middle to Isaiah Likely for 16 yards (tackle by Deion Jones),3.110,4.440
2,2:35,1,10,CLE 17,10,6,Lamar Jackson scrambles right end for 10 yards (tackle by Grant Delpit),4.440,5.600
2,2:00,1,7,CLE 7,10,12,"Gus Edwards left tackle for 7 yards, touchdown",5.600,7.000
2,1:57,,,CLE 15,10,13,Justin Tucker kicks extra point good,0.000,0.000
2,1:57,,,BAL 35,10,13,"Justin Tucker kicks off 70 yards, returned by D'Ernest Johnson for 27 yards (tackle by Kyle Hamilton). Penalty on Dakota Allen: Offensive Holding, 10 yards (accepted)",0.000,-0.350
2,1:53,1,10,CLE 12,10,13,Jacoby Brissett pass complete short middle to David Njoku for 7 yards (tackle by Chuck Clark),-0.350,0.100
2,1:43,2,3,CLE 19,10,13,Jacoby Brissett pass complete short middle to David Njoku for 18 yards (tackle by Chuck Clark and Josh Bynes),0.100,1.400
2,1:21,1,10,CLE 37,10,13,Jacoby Brissett pass complete short right to Amari Cooper for 8 yards,1.400,1.940
2,1:09,2,2,CLE 45,10,13,Jacoby Brissett pass incomplete short middle intended for Kareem Hunt,1.940,1.220
2,1:05,3,2,CLE 45,10,13,"Jacoby Brissett pass incomplete intended for Amari Cooper. Penalty on Marcus Peters: Defensive Pass Interference, 15 yards (accepted) (no play)",1.220,2.920
2,1:01,1,10,BAL 40,10,13,Jacoby Brissett sacked by Justin Houston for -1 yards,2.920,2.240
2,0:53,,,,,,Timeout #2 by Cleveland Browns,,
2,0:53,2,11,BAL 41,10,13,"Jacoby Brissett sacked by Justin Houston for -9 yards. Jacoby Brissett fumbles (forced by Justin Houston), recovered by Ethan Pocic at 50 (tackle by Justin Houston)",2.240,0.370
2,0:43,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:43,3,20,BAL 50,10,13,Jacoby Brissett pass complete short middle to Kareem Hunt for 4 yards (tackle by Marcus Peters and Jason Pierre-Paul),0.370,0.200
2,0:35,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:35,4,16,BAL 46,10,13,Corey Bojorquez punts 38 yards downed by Herb Miller,0.200,0.380
2,0:25,1,10,BAL 8,10,13,Lamar Jackson kneels for -1 yards,-0.380,-0.850
Quarter,Time,Down,ToGo,Location,CLE,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,10,13,"Cade York kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BAL 25,10,13,Lamar Jackson sacked by Martin Emerson for -7 yards,0.610,-0.980
3,14:22,2,17,BAL 18,10,13,Lamar Jackson pass incomplete short middle intended for Mark Andrews (defended by Jeremiah Owusu-Koramoah),-0.980,-1.720
3,14:20,3,17,BAL 18,10,13,Lamar Jackson sacked by Taven Bryan for -12 yards,-1.720,-2.490
3,13:36,4,29,BAL 6,10,13,"Jordan Stout punts 62 yards, returned by Donovan Peoples-Jones for 8 yards (tackle by Kristian Welch)",-2.490,-1.600
3,13:23,1,10,CLE 40,10,13,Jacoby Brissett sacked by Patrick Queen for -5 yards,1.600,0.380
3,12:42,2,15,CLE 35,10,13,Jacoby Brissett pass complete short left to Nick Chubb for 2 yards (tackle by Geno Stone),0.380,-0.030
3,12:06,3,13,CLE 37,10,13,"Jacoby Brissett sacked by Calais Campbell for -12 yards. Jacoby Brissett fumbles (forced by Calais Campbell), recovered by Odafe Oweh at CLE-25 (tackle by Calais Campbell)",-0.030,-3.910
3,11:57,1,10,CLE 25,10,13,Gus Edwards right tackle for 1 yard (tackle by Jacob Phillips),3.910,3.500
3,11:15,2,9,CLE 24,10,13,Kenyan Drake right end for 2 yards (tackle by Jeremiah Owusu-Koramoah),3.500,3.070
3,10:46,3,7,CLE 22,10,13,"Lamar Jackson pass incomplete intended for Devin Duvernay. Penalty on Grant Delpit: Defensive Holding, 5 yards (accepted) (no play)",3.070,4.440
3,10:34,1,10,CLE 17,10,13,Lamar Jackson left end for 7 yards (tackle by Grant Delpit),4.440,5.100
3,10:04,2,3,CLE 10,10,13,Lamar Jackson up the middle for 5 yards (tackle by Ronnie Harrison),5.100,6.060
3,9:24,1,5,CLE 5,10,13,Kenyan Drake left end for no gain (tackle by Isaiah Thomas),6.060,5.150
3,8:30,2,5,CLE 5,10,13,Lamar Jackson pass incomplete short middle intended for Josh Oliver (defended by Grant Delpit),5.150,4.260
3,8:25,3,5,CLE 5,10,13,Lamar Jackson pass complete short middle to Rashod Bateman for 4 yards (tackle by Martin Emerson),4.260,3.550
3,7:45,4,1,CLE 1,10,19,"Gus Edwards left tackle for 1 yard, touchdown",3.550,7.000
3,7:39,,,CLE 15,10,20,Justin Tucker kicks extra point good,0.000,0.000
3,7:39,,,BAL 35,10,20,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,7:39,1,10,CLE 25,10,20,Nick Chubb right tackle for 5 yards (tackle by Josh Bynes and Travis Jones),0.610,0.740
3,7:06,2,5,CLE 30,10,20,Nick Chubb left tackle for 6 yards (tackle by Chuck Clark and Patrick Queen),0.740,1.330
3,6:30,1,10,CLE 36,10,20,Nick Chubb left guard for 4 yards (tackle by Brent Urban and Justin Madubuike),1.330,1.330
3,5:59,2,6,CLE 40,10,20,"Jacoby Brissett pass incomplete intended for David Njoku. Penalty on Geno Stone: Defensive Pass Interference, 23 yards (accepted) (no play)",1.330,3.120
3,5:52,1,10,BAL 37,10,20,Nick Chubb up the middle for 1 yard (tackle by Chuck Clark and Broderick Washington),3.120,2.710
3,5:28,2,9,BAL 36,10,20,Jacoby Brissett pass complete short middle to Donovan Peoples-Jones for 7 yards (tackle by Marlon Humphrey),2.710,2.940
3,4:51,3,2,BAL 29,10,20,Jacoby Brissett pass complete short middle to David Njoku for 3 yards (tackle by Josh Bynes and Chuck Clark),2.940,3.840
3,4:21,1,10,BAL 26,10,20,Nick Chubb right end for 4 yards (tackle by Geno Stone),3.840,3.840
3,3:37,2,6,BAL 22,10,20,Jacoby Brissett pass incomplete deep left intended for Amari Cooper,3.840,3.140
