Unnamed: 0,BUF,CIN
First Downs,12,25
Rush-Yds-TDs,21-83-1,32-171-1
Cmp-Att-Yd-TD-INT,20-34-199-0-0,18-36-298-1-2
Sacked-Yards,1-9,2-11
Net Pass Yards,190,287
Total Yards,273,458
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,4-26,3-15
Third Down Conv.,4-14,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:39,31:21
