Quarter,Time,Tm,Detail,BUF,CIN
1.0,2:02,Bengals,Mike Nugent 31 yard field goal,0,3
2.0,13:33,Bills,Rian Lindell 43 yard field goal,3,3
,3:10,Bills,Bryan Scott 43 yard interception return (Rian Lindell kick),10,3
,0:40,Bills,Fred Jackson 2 yard rush (Rian Lindell kick),17,3
3.0,11:23,Bengals,Mike Nugent 21 yard field goal,17,6
,5:26,Bengals,Jermaine Gresham 17 yard pass from Andy Dalton (Mike Nugent kick),17,13
4.0,11:22,Bills,Rian Lindell 23 yard field goal,20,13
,4:09,Bengals,Andy Dalton 3 yard rush (Mike Nugent kick),20,20
,0:00,Bengals,Mike Nugent 43 yard field goal,20,23
