Unnamed: 0,GNB,CHI
First Downs,20,20
Rush-Yds-TDs,30-124-0,16-45-0
Cmp-Att-Yd-TD-INT,22-33-359-3-0,27-50-353-3-3
Sacked-Yards,3-26,3-18
Net Pass Yards,333,335
Total Yards,457,380
Fumbles-Lost,3-1,2-1
Turnovers,1,4
Penalties-Yards,5-49,7-65
Third Down Conv.,3-13,6-15
Fourth Down Conv.,1-1,1-3
Time of Possession,31:04,28:56
