Unnamed: 0,PIT,LAC
First Downs,18,23
Rush-Yds-TDs,36-124-1,14-32-0
Cmp-Att-Yd-TD-INT,15-20-132-1-1,26-44-320-2-2
Sacked-Yards,0-0,1-4
Net Pass Yards,132,316
Total Yards,256,348
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,6-45,8-74
Third Down Conv.,8-13,7-12
Fourth Down Conv.,0-0,0-0
Time of Possession,34:05,25:55
