Quarter,Time,Tm,Detail,PIT,LAC
1.0,10:51,Steelers,Devin Bush Jr. 9 yard fumble return (Chris Boswell kick),7,0
,4:29,Steelers,James Conner 12 yard rush (Chris Boswell kick),14,0
2.0,6:34,Steelers,James Conner 26 yard pass from Devlin Hodges (Chris Boswell kick),21,0
3.0,8:12,Steelers,Chris Boswell 20 yard field goal,24,0
4.0,14:00,Chargers,Chase McLaughlin 38 yard field goal,24,3
,7:13,Chargers,Hunter Henry 5 yard pass from Philip Rivers (Chase McLaughlin kick),24,10
,1:29,Chargers,Hunter Henry 11 yard pass from Philip Rivers (Chase McLaughlin kick),24,17
