Unnamed: 0,MIN,NWE
First Downs,23,18
Rush-Yds-TDs,28-125-1,27-122-3
Cmp-Att-Yd-TD-INT,26-38-295-1-1,16-27-240-1-0
Sacked-Yards,1-10,0-0
Net Pass Yards,285,240
Total Yards,410,362
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-35,6-47
Third Down Conv.,4-11,6-11
Fourth Down Conv.,1-2,0-0
Time of Possession,35:08,24:52
