Quarter,Time,Tm,Detail,DAL,STL
1.0,6:10,Rams,Lance Kendricks 1 yard pass from Austin Davis (Greg Zuerlein kick),0,7
2.0,14:54,Rams,Brian Quick 51 yard pass from Austin Davis (Greg Zuerlein kick),0,14
,6:06,Rams,Jackrabbit Jenkins 25 yard interception return (Greg Zuerlein kick),0,21
,2:07,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),7,21
,0:02,Cowboys,Dan Bailey 29 yard field goal,10,21
3.0,12:48,Cowboys,Dez Bryant 68 yard pass from Tony Romo (Dan Bailey kick),17,21
,2:43,Cowboys,Dan Bailey 40 yard field goal,20,21
4.0,13:28,Rams,Greg Zuerlein 28 yard field goal,20,24
,6:13,Cowboys,Terrance Williams 12 yard pass from Tony Romo (Dan Bailey kick),27,24
,5:58,Cowboys,Bruce Carter 25 yard interception return (Dan Bailey kick),34,24
,2:36,Rams,Austin Pettis 4 yard pass from Austin Davis (Greg Zuerlein kick),34,31
