Unnamed: 0,DAL,STL
First Downs,19,26
Rush-Yds-TDs,29-123-1,30-121-0
Cmp-Att-Yd-TD-INT,18-23-217-2-1,30-42-327-3-2
Sacked-Yards,0-0,0-0
Net Pass Yards,217,327
Total Yards,340,448
Fumbles-Lost,1-1,1-1
Turnovers,2,3
Penalties-Yards,3-15,8-119
Third Down Conv.,5-10,8-13
Fourth Down Conv.,0-0,1-2
Time of Possession,27:10,32:50
