Quarter,Time,Down,ToGo,Location,DAL,STL,Detail,EPB,EPA
2,3:39,1,10,DAL 49,0,21,DeMarco Murray left tackle for 20 yards (tackle by Robert Quinn and Rodney McLeod),2.190,3.510
2,2:59,1,10,STL 31,0,21,DeMarco Murray right guard for 4 yards (tackle by T.J. McDonald),3.510,3.510
2,2:23,2,6,STL 27,0,21,Tony Romo pass incomplete short left intended for Jason Witten (defended by Rodney McLeod),3.510,2.810
2,2:15,3,6,STL 27,0,21,"Tony Romo pass incomplete deep middle intended for Cole Beasley. Penalty on Lamarcus Joyner: Defensive Pass Interference, 26 yards (no play)",2.810,6.970
2,2:10,1,1,STL 1,6,21,"DeMarco Murray right guard for 1 yard, touchdown",6.970,7.000
2,2:10,,,STL 2,7,21,Dan Bailey kicks extra point good,0.000,0.000
2,2:10,,,DAL 35,7,21,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,2:07,1,10,STL 20,7,21,Austin Davis pass complete short right to Jared Cook for 5 yards (tackle by George Selvie),0.280,0.410
2,1:58,2,5,STL 25,7,21,Benny Cunningham right tackle for 7 yards (tackle by Bruce Carter),0.410,1.070
2,1:27,1,10,STL 32,7,21,Austin Davis pass complete short right to Jared Cook for 15 yards (tackle by Barry Church),1.070,2.060
2,1:01,1,10,STL 47,7,21,"Austin Davis pass incomplete short right intended for Jared Cook (defended by Jeremy Mincey). Penalty on Brian Quick: Illegal Formation (Offsetting), Penalty on Bruce Carter: Defensive Holding (Offsetting) (no play)",2.060,2.060
2,0:58,1,10,STL 47,7,21,Austin Davis pass incomplete deep left intended for Chris Givens,2.060,1.520
2,0:53,2,10,STL 47,7,21,Austin Davis pass complete short middle to Kenny Britt for 9 yards (tackle by Anthony Hitchens),1.520,1.520
2,0:42,2,10,STL 47,7,21,Timeout #1 by St. Louis Rams,1.520,2.020
2,0:42,3,1,DAL 44,7,21,"Austin Davis for no gain. Scott Wells fumbles, recovered by Henry Melton at DAL-47 (tackle by Rodger Saffold)",2.020,-2.060
2,0:39,1,10,DAL 47,7,21,Tony Romo pass incomplete short middle intended for Cole Beasley,2.060,1.520
2,0:32,2,10,DAL 47,7,21,Tony Romo pass complete short middle to Jason Witten for 13 yards (tackle by Alec Ogletree),1.520,1.520
2,0:25,2,10,DAL 47,7,21,Timeout #1 by Dallas Cowboys,1.520,2.920
2,0:25,1,10,STL 40,7,21,"Tony Romo pass complete short right to Dez Bryant for 3 yards (tackle by James Laurinaitis). Tony Romo fumbles, recovered by Tony Romo at STL-45",2.920,2.920
2,0:18,1,10,STL 40,7,21,Timeout #2 by Dallas Cowboys,2.920,2.780
2,0:18,2,7,STL 37,7,21,"Tony Romo pass incomplete short middle intended for Cole Beasley. Penalty on Eugene Sims: Roughing the Passer, 15 yards (no play)",2.780,4.110
2,0:13,1,10,STL 22,7,21,Tony Romo pass complete short middle to DeMarco Murray for 11 yards (tackle by Rodney McLeod),4.110,4.110
2,0:05,1,10,STL 22,7,21,Timeout #3 by Dallas Cowboys,4.110,4.840
2,0:05,1,10,STL 11,10,21,Dan Bailey 29 yard field goal good,4.840,3.000
2,0:05,,,DAL 35,10,21,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,0:02,1,10,STL 20,10,21,Austin Davis kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,DAL,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,10,21,"Greg Zuerlein kicks off 73 yards, returned by Dwayne Harris for 25 yards (tackle by Chase Reynolds)",0.000,0.060
3,14:57,1,10,DAL 17,10,21,DeMarco Murray up the middle for 5 yards (tackle by Jo-Lonn Dunbar),-0.060,0.210
3,14:28,2,5,DAL 22,10,21,DeMarco Murray left tackle for 3 yards (tackle by James Laurinaitis and Kendall Langford),0.210,-0.240
3,13:39,3,2,DAL 25,10,21,Tony Romo pass complete short right to Gavin Escobar for 7 yards (tackle by Lamarcus Joyner),-0.240,1.070
3,12:58,1,10,DAL 32,16,21,"Tony Romo pass complete deep middle to Dez Bryant for 68 yards, touchdown",1.070,7.000
3,12:58,,,STL 2,17,21,Dan Bailey kicks extra point good,0.000,0.000
3,12:58,,,DAL 35,17,21,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
3,12:48,1,10,STL 20,17,21,Austin Davis pass incomplete deep middle intended for Kenny Britt,0.280,-0.270
3,12:42,2,10,STL 20,17,21,Austin Davis pass complete short middle to Zac Stacy for 10 yards (tackle by Bruce Carter),-0.270,0.940
3,12:01,1,10,STL 30,17,21,Zac Stacy left guard for 7 yards (tackle by Bruce Carter),0.940,1.340
3,11:23,2,3,STL 37,17,21,Trey Watts left end for 7 yards (tackle by Kyle Wilber),1.340,1.860
3,10:37,1,10,STL 44,17,21,Austin Davis pass complete short right to Brian Quick for 11 yards (tackle by Brandon Carr),1.860,2.590
3,10:06,1,10,DAL 45,17,21,Zac Stacy left tackle for 5 yards (tackle by Anthony Hitchens and Orlando Scandrick),2.590,2.720
3,9:27,2,5,DAL 40,17,21,Austin Davis pass complete deep right to Kenny Britt for 16 yards (tackle by Brandon Carr),2.720,3.970
3,8:45,1,10,DAL 24,17,21,Zac Stacy right tackle for 1 yard (tackle by Anthony Hitchens),3.970,3.570
3,8:01,2,9,DAL 23,17,21,Austin Davis pass complete short left to Lance Kendricks for 6 yards (tackle by Kyle Wilber),3.570,3.750
3,7:33,3,3,DAL 17,17,21,Austin Davis pass complete short middle to Kenny Britt for 2 yards (tackle by Orlando Scandrick),3.750,2.590
3,7:11,4,1,DAL 15,17,21,Zac Stacy left guard for -1 yards (tackle by Anthony Hitchens),2.590,0.140
3,7:03,1,10,DAL 16,17,21,DeMarco Murray up the middle for 1 yard (tackle by Kendall Langford),-0.140,-0.510
3,6:25,2,9,DAL 17,17,21,Tony Romo pass complete short right to Jason Witten for 13 yards (tackle by T.J. McDonald and Jo-Lonn Dunbar),-0.510,-0.510
3,5:34,2,9,DAL 17,17,21,Timeout #1 by Dallas Cowboys,-0.510,0.940
3,5:34,1,10,DAL 30,17,21,DeMarco Murray left end for 44 yards (tackle by Rodney McLeod),0.940,3.840
3,4:50,1,10,STL 26,17,21,Joseph Randle left guard for 7 yards (tackle by James Laurinaitis),3.840,4.270
3,4:14,2,3,STL 19,17,21,Joseph Randle up the middle for 2 yards (tackle by Alec Ogletree),4.270,3.950
3,3:29,3,1,STL 17,17,21,DeMarco Murray up the middle for -5 yards (tackle by Jo-Lonn Dunbar),3.950,2.020
3,2:49,4,6,STL 22,20,21,Dan Bailey 40 yard field goal good,2.020,3.000
3,2:49,,,DAL 35,20,21,"Dan Bailey kicks off 71 yards, returned by Chris Givens for 24 yards (tackle by Dwayne Harris)",0.000,-0.040
3,2:35,1,10,STL 18,20,21,Austin Davis pass complete deep left to Kenny Britt for 38 yards (tackle by Morris Claiborne),0.040,2.650
3,2:06,1,10,DAL 44,20,21,Zac Stacy left tackle for 16 yards (tackle by J.J. Wilcox),2.650,3.710
3,1:35,1,10,DAL 28,20,21,Zac Stacy up the middle for 9 yards (tackle by Anthony Hitchens),3.710,4.420
3,0:55,2,1,DAL 19,20,21,Benny Cunningham up the middle for 2 yards (tackle by Henry Melton),4.420,4.440
3,0:08,1,10,DAL 17,20,21,"Trey Watts left end for 3 yards (tackle by Anthony Hitchens). Penalty on Kenny Britt: Offensive Holding, 10 yards",4.440,3.970
Quarter,Time,Down,ToGo,Location,DAL,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,17,DAL 24,20,21,Zac Stacy up the middle for 1 yard (tackle by Jeremy Mincey and Kyle Wilber),3.970,3.080
4,14:21,2,16,DAL 23,20,21,Austin Davis pass complete short middle to Austin Pettis for 13 yards (tackle by Anthony Hitchens),3.080,4.340
4,13:37,3,3,DAL 10,20,21,Austin Davis pass incomplete short right intended for Jared Cook,4.340,2.860
4,13:31,4,3,DAL 10,20,24,Greg Zuerlein 28 yard field goal good,2.860,3.000
4,13:31,,,STL 35,20,24,"Greg Zuerlein kicks off 73 yards, returned by Dwayne Harris for 24 yards (tackle by Chase Reynolds)",0.000,0.140
4,13:25,1,10,DAL 16,20,24,"DeMarco Murray right tackle for 3 yards (tackle by James Laurinaitis). Penalty on Jason Witten: Illegal Block Above the Waist, 10 yards",-0.140,-0.650
4,13:08,1,17,DAL 9,20,24,DeMarco Murray left tackle for 1 yard (tackle by Michael Brockers),-0.650,-1.220
4,12:26,2,16,DAL 10,20,24,Tony Romo pass complete short middle to Dez Bryant for 3 yards (tackle by Rodney McLeod),-1.220,-1.750
4,11:47,3,13,DAL 13,20,24,Tony Romo up the middle for 16 yards (tackle by Lamarcus Joyner),-1.750,0.870
4,10:56,1,10,DAL 29,20,24,DeMarco Murray left end for 1 yard (tackle by Janoris Jenkins and Ethan Westbrooks),0.870,0.460
4,10:13,2,9,DAL 30,20,24,DeMarco Murray right tackle for -5 yards (tackle by Aaron Donald),0.460,-0.890
4,9:28,3,14,DAL 25,20,24,Tony Romo pass complete deep middle to Terrance Williams for 20 yards (tackle by James Laurinaitis),-0.890,1.930
4,8:41,1,10,DAL 45,20,24,DeMarco Murray right end for 2 yards (tackle by Alec Ogletree),1.930,1.650
4,7:56,2,8,DAL 47,20,24,"Tony Romo pass incomplete deep right intended for Dez Bryant. Penalty on Janoris Jenkins: Defensive Pass Interference, 33 yards (no play)",1.650,4.240
4,7:49,1,10,STL 20,20,24,DeMarco Murray up the middle for 3 yards (tackle by Alec Ogletree),4.240,4.120
4,7:07,2,7,STL 17,20,24,Tony Romo pass complete short right to DeMarco Murray for 5 yards (tackle by Alec Ogletree),4.120,4.340
4,6:21,3,2,STL 12,26,24,"Tony Romo pass complete short middle to Terrance Williams for 12 yards, touchdown",4.340,7.000
4,6:21,,,STL 2,27,24,Dan Bailey kicks extra point good,0.000,0.000
4,6:21,,,DAL 35,27,24,"Dan Bailey kicks off 73 yards, returned by Chris Givens for 29 yards (tackle by C.J. Spillman)",0.000,-0.340
4,6:06,1,10,STL 21,33,24,"Austin Davis pass incomplete short middle intended for Zac Stacy is intercepted by Bruce Carter at STL-25 and returned for 25 yards, touchdown",0.340,-7.000
4,5:58,,,STL 2,34,24,Dan Bailey kicks extra point good,0.000,0.000
4,5:58,,,DAL 35,34,24,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
4,5:58,1,10,STL 20,34,24,Austin Davis pass complete short middle to Jared Cook for 9 yards (tackle by Anthony Hitchens and Kyle Wilber),0.280,0.950
4,5:20,2,1,STL 29,34,24,Austin Davis pass complete short middle to Jared Cook for 18 yards (tackle by Kyle Wilber and Anthony Hitchens),0.950,2.060
4,4:44,1,10,STL 47,34,24,Austin Davis pass complete short middle to Zac Stacy for 4 yards (tackle by J.J. Wilcox),2.060,2.060
4,4:19,2,6,DAL 49,34,24,Austin Davis pass complete short middle to Zac Stacy for 9 yards (tackle by Bruce Carter),2.060,2.920
4,3:53,1,10,DAL 40,34,24,Austin Davis pass incomplete deep right intended for Chris Givens,2.920,2.370
4,3:49,2,10,DAL 40,34,24,Austin Davis pass complete short left to Lance Kendricks for 10 yards (tackle by Bruce Carter),2.370,3.580
4,3:23,1,10,DAL 30,34,24,Benny Cunningham right guard for 5 yards (tackle by Bruce Carter and Terrell McClain),3.580,3.710
4,3:01,2,5,DAL 25,34,24,"Austin Davis pass incomplete deep left intended for Brian Quick. Penalty on Morris Claiborne: Illegal Contact, 5 yards (no play)",3.710,4.240
4,2:56,1,10,DAL 20,34,24,Austin Davis pass complete short right to Jared Cook for 16 yards (tackle by J.J. Wilcox),4.240,6.280
4,2:50,1,4,DAL 4,34,24,Austin Davis pass incomplete short middle intended for Lance Kendricks (defended by Anthony Hitchens),6.280,5.340
4,2:46,2,4,DAL 4,34,24,Austin Davis pass incomplete short left intended for Benny Cunningham,5.340,4.490
4,2:41,3,4,DAL 4,34,30,"Austin Davis pass complete short left to Austin Pettis for 4 yards, touchdown",4.490,7.000
4,2:41,,,DAL 2,34,31,Greg Zuerlein kicks extra point good,0.000,0.000
4,2:41,,,STL 35,34,31,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
4,2:36,1,10,DAL 20,34,31,DeMarco Murray left tackle for no gain (tackle by Alec Ogletree),0.280,0.280
4,2:31,1,10,DAL 20,34,31,Timeout #1 by St. Louis Rams,0.280,-0.270
4,2:31,2,10,DAL 20,34,31,"Tony Romo sacked by Eugene Sims for -11 yards. Penalty on Eugene Sims: Defensive Holding, 5 yards (no play)",-0.270,0.610
4,2:24,1,10,DAL 25,34,31,DeMarco Murray left guard for 7 yards (tackle by Alec Ogletree and T.J. McDonald),0.610,0.610
4,2:17,1,10,DAL 25,34,31,Timeout #2 by St. Louis Rams,0.610,1.010
4,2:17,2,3,DAL 32,34,31,DeMarco Murray up the middle for no gain (tackle by Michael Brockers),1.010,1.010
4,2:14,2,3,DAL 32,34,31,Timeout #3 by St. Louis Rams,1.010,0.300
4,2:14,3,3,DAL 32,34,31,Tony Romo pass incomplete short left intended for Lance Dunbar,0.300,-1.240
4,2:11,4,3,DAL 32,34,31,"Chris Jones punts 45 yards, returned by Austin Pettis for 1 yard (tackle by Kyle Wilber). Penalty on Janoris Jenkins: Offensive Holding, 10 yards",-1.240,0.280
4,1:58,1,10,STL 14,34,31,Austin Davis pass incomplete short right intended for Jared Cook,-0.280,-0.750
4,1:54,2,10,STL 14,34,31,Austin Davis pass complete short right to Jared Cook for 8 yards (tackle by Orlando Scandrick),-0.750,-0.440
4,1:32,3,2,STL 22,34,31,Austin Davis pass complete short left to Kenny Britt for 4 yards (tackle by Bruce Carter),-0.440,0.670
4,1:11,1,10,STL 26,34,31,Austin Davis pass incomplete deep left intended for Brian Quick is intercepted by Morris Claiborne at DAL-45 and returned for -8 yards,0.670,-1.400
4,1:02,1,10,DAL 37,34,31,Tony Romo kneels for -1 yards,1.400,0.720
4,0:25,2,11,DAL 36,34,31,Tony Romo kneels for -1 yards,0.720,-0.100
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
