Quarter,Time,Tm,Detail,DET,MIN
1.0,10:39,Vikings,Dalvin Cook 5 yard rush (Dan Bailey kick),0,7
,1:26,Vikings,Irv Smith Jr. 9 yard pass from Kirk Cousins (Dan Bailey kick failed),0,13
2.0,8:21,Lions,Matt Prater 23 yard field goal,3,13
,1:19,Lions,Marvin Jones 15 yard pass from Matthew Stafford (Matt Prater kick),10,13
,0:15,Vikings,Ameer Abdullah 22 yard pass from Kirk Cousins (Dan Bailey kick),10,20
3.0,7:50,Vikings,Irv Smith Jr. 1 yard pass from Kirk Cousins (Dan Bailey kick),10,27
4.0,11:02,Lions,Matt Prater 45 yard field goal,13,27
,10:42,Vikings,Dalvin Cook 70 yard rush (Dan Bailey kick),13,34
,6:55,Lions,T.J. Hockenson 2 yard pass from Chase Daniel (Matt Prater kick),20,34
