Unnamed: 0,DET,CHI
First Downs,22,12
Rush-Yds-TDs,19-80-0,35-109-1
Cmp-Att-Yd-TD-INT,33-63-329-1-4,9-20-123-0-0
Sacked-Yards,2-16,2-16
Net Pass Yards,313,107
Total Yards,393,216
Fumbles-Lost,3-2,3-1
Turnovers,6,1
Penalties-Yards,4-53,4-37
Third Down Conv.,4-17,3-13
Fourth Down Conv.,1-2,1-1
Time of Possession,30:54,29:06
