Unnamed: 0,NWE,BUF
First Downs,33,19
Rush-Yds-TDs,40-247-4,27-98-0
Cmp-Att-Yd-TD-INT,22-36-340-3-0,22-39-350-4-4
Sacked-Yards,1-7,3-10
Net Pass Yards,333,340
Total Yards,580,438
Fumbles-Lost,3-2,3-2
Turnovers,2,6
Penalties-Yards,1-10,3-17
Third Down Conv.,4-11,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,30:47,29:13
