Quarter,Time,Down,ToGo,Location,SDG,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Dave Rayner kicks off 55 yards, returned by Darren Sproles for 14 yards (tackle by Rob Morris)",0.000,0.870
1,14:57,1,10,SDG 29,0,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Dwight Freeney),0.870,0.730
1,14:30,2,7,SDG 32,0,0,Drew Brees pass complete to Antonio Gates for 4 yards (tackle by Gary Brackett),0.730,0.560
1,13:56,3,3,SDG 36,0,0,"Penalty on Shane Olivea: False Start, 5 yards (no play)",0.560,-0.100
1,13:35,3,8,SDG 31,0,0,Drew Brees pass complete to Vincent Jackson for 20 yards (tackle by Jason David and Mike Doss),-0.100,2.320
1,13:04,1,10,IND 49,0,0,LaDainian Tomlinson left tackle for 2 yards (tackle by Montae Reagor),2.320,2.050
1,12:32,2,8,IND 47,0,0,Drew Brees pass incomplete intended for Antonio Gates,2.050,1.360
1,12:28,3,8,IND 47,0,0,Drew Brees pass incomplete intended for LaDainian Tomlinson,1.360,0.130
1,12:23,4,8,IND 47,0,0,"Mike Scifres punts 32 yards, fair catch by Troy Walters",0.130,0.220
1,12:16,1,10,IND 15,0,0,Peyton Manning sacked by Igor Olshansky and Shawne Merriman for -7 yards,-0.220,-1.290
1,12:00,2,17,IND 8,0,0,Edgerrin James up the middle for 2 yards (tackle by Randall Godfrey),-1.290,-2.010
1,11:19,3,15,IND 10,0,0,Peyton Manning pass incomplete intended for Marvin Harrison,-2.010,-2.490
1,11:13,4,15,IND 10,0,0,"Hunter Smith punts 43 yards, returned by Eric Parker for 11 yards (tackle by Justin Snow)",-2.490,-2.790
1,11:03,1,10,IND 42,0,0,Drew Brees pass complete to Antonio Gates for 4 yards (tackle by Gary Brackett and Josh Williams),2.790,2.780
1,10:34,2,6,IND 38,0,0,Drew Brees pass complete to Reche Caldwell for 3 yards (tackle by Marlin Jackson),2.780,2.480
1,9:57,3,3,IND 35,0,0,Drew Brees pass incomplete intended for Antonio Gates,2.480,0.990
1,9:54,4,3,IND 35,0,0,Drew Brees pass complete to Eric Parker for 6 yards (tackle by Nick Harper),0.990,3.640
1,9:18,1,10,IND 29,6,0,"Drew Brees pass complete to Keenan McCardell for 29 yards, touchdown",3.640,7.000
1,,,,IND 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 60 yards, returned by Dominic Rhodes for 15 yards (tackle by Hanik Milligan)",0.000,0.610
1,9:07,1,10,IND 25,7,0,Edgerrin James right end for -3 yards (tackle by Jamal Williams and Shawne Merriman),0.610,-0.340
1,8:34,2,13,IND 22,7,0,"Peyton Manning pass incomplete intended for Reggie Wayne is intercepted by Drayton Florence at IND-35 and returned for 10 yards. Drayton Florence fumbles (forced by Dallas Clark), recovered by Jeff Saturday at IND-26 (tackle by Luis Castillo)",-0.340,0.670
1,8:18,1,10,IND 26,7,0,Peyton Manning sacked by Igor Olshansky and Shawne Merriman for -7 yards,0.670,-0.870
1,7:42,2,17,IND 19,7,0,Peyton Manning pass complete to Reggie Wayne for 10 yards (tackle by Donnie Edwards),-0.870,-0.160
1,7:05,3,7,IND 29,7,0,Peyton Manning up the middle for 5 yards (tackle by Matt Wilhelm and Terrence Kiel),-0.160,-1.110
1,6:22,4,2,IND 34,7,0,"Hunter Smith punts 37 yards, fair catch by Eric Parker. Penalty on Jamar Fletcher: Offensive Holding, 10 yards",-1.110,-0.150
1,6:16,1,10,SDG 19,7,0,Drew Brees pass complete to Eric Parker for 8 yards (tackle by Nick Harper),0.150,0.750
1,5:41,2,2,SDG 27,7,0,Drew Brees pass complete to Eric Parker for 49 yards (tackle by Mike Doss),0.750,3.970
1,4:57,1,10,IND 24,7,0,LaDainian Tomlinson up the middle for 12 yards (tackle by David Thornton and Bob Sanders),3.970,4.780
1,4:26,1,10,IND 12,7,0,"LaDainian Tomlinson up the middle for -1 yards (tackle by Montae Reagor). Penalty on Nick Hardwick: Offensive Holding, 10 yards (no play)",4.780,4.110
1,3:59,1,20,IND 22,7,0,"LaDainian Tomlinson left tackle for 1 yard (tackle by Gary Brackett and Cato June). Penalty on Nick Hardwick: Offensive Holding, 10 yards",4.110,3.510
1,3:37,1,29,IND 31,7,0,LaDainian Tomlinson right tackle for 9 yards (tackle by Cato June),3.510,2.870
1,3:06,2,20,IND 22,7,0,LaDainian Tomlinson right tackle for 3 yards (tackle by Gary Brackett and Bob Sanders),2.870,2.610
1,2:34,3,17,IND 19,7,0,LaDainian Tomlinson up the middle for 2 yards (tackle by Dwight Freeney),2.610,2.310
1,1:58,4,15,IND 17,10,0,Nate Kaeding 36 yard field goal good,2.310,3.000
1,,,,SDG 30,10,0,"Nate Kaeding kicks off 65 yards, muffed catch by Dominic Rhodes, recovered by Dominic Rhodes and returned for no gain. Penalty on Keith O'Neil: Offensive Holding, 10 yards",0.000,-0.370
1,1:50,1,10,IND 11,10,0,"Edgerrin James right tackle for 6 yards (tackle by Randall Godfrey). Penalty on Dylan Gandy: Offensive Holding, 5 yards (no play)",-0.370,-0.570
1,1:36,1,15,IND 6,10,0,Peyton Manning pass incomplete intended for Dallas Clark (defended by Randall Godfrey),-0.570,-1.150
1,1:31,2,15,IND 6,10,0,Peyton Manning pass complete to Brandon Stokley for 5 yards (tackle by Drayton Florence and Jamar Fletcher),-1.150,-1.420
1,0:53,3,10,IND 11,10,0,Peyton Manning pass complete to Edgerrin James for 7 yards (tackle by Quentin Jammer),-1.420,-2.240
1,0:26,4,3,IND 18,10,0,"Hunter Smith punts 52 yards, returned by Keenan McCardell for 10 yards (tackle by Justin Snow)",-2.240,-1.600
1,0:15,1,10,SDG 40,10,0,Drew Brees pass complete to Antonio Gates for 5 yards (tackle by Bob Sanders),1.600,1.730
Quarter,Time,Down,ToGo,Location,SDG,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,SDG 45,10,0,Drew Brees pass incomplete intended for Justin Peelle,1.730,1.030
2,14:55,3,5,SDG 45,10,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Gary Brackett),1.030,-0.190
2,14:11,4,2,SDG 48,10,0,"Mike Scifres punts 37 yards, fair catch by Troy Walters",-0.190,0.220
2,14:04,1,10,IND 15,10,0,Peyton Manning pass complete to Marvin Harrison for 8 yards (tackle by Jamar Fletcher and Donnie Edwards),-0.220,0.480
2,13:38,2,2,IND 23,10,0,Edgerrin James up the middle for 13 yards (tackle by Jamar Fletcher),0.480,1.330
2,13:04,1,10,IND 36,10,0,Peyton Manning pass complete to Reggie Wayne for 13 yards (tackle by Shawne Merriman),1.330,2.190
2,12:27,1,10,IND 49,10,0,"Peyton Manning pass incomplete intended for Marvin Harrison. Penalty on Jamar Fletcher: Illegal Contact, 5 yards (no play)",2.190,2.520
2,12:21,1,10,SDG 46,10,0,Peyton Manning pass complete to Reggie Wayne for 7 yards (tackle by Drayton Florence),2.520,2.920
2,11:47,2,3,SDG 39,10,0,Peyton Manning pass incomplete intended for Marvin Harrison,2.920,2.210
2,11:44,3,3,SDG 39,10,0,Peyton Manning pass complete to Marvin Harrison for 11 yards (tackle by Donnie Edwards and Quentin Jammer),2.210,3.710
2,11:44,1,10,SDG 28,10,0,Peyton Manning pass incomplete intended for Brandon Stokley,3.710,3.170
2,11:38,2,10,SDG 28,10,0,"Peyton Manning pass incomplete intended for Marvin Harrison. Penalty on Quentin Jammer: Defensive Holding, 5 yards (no play)",3.170,4.040
2,11:35,1,10,SDG 23,10,0,Edgerrin James right tackle for 4 yards (tackle by Shaun Phillips),4.040,4.050
2,11:14,2,6,SDG 19,10,0,"Edgerrin James up the middle for no gain (tackle by Steve Foley). Penalty on Luis Castillo: Defensive 12 On-field, 5 yards (no play)",4.050,4.950
,,,,,,,"IND challenged the ruling, and the original play was overturned.",,
2,10:42,2,1,SDG 14,10,0,Edgerrin James up the middle for 4 yards (tackle by Stephen Cooper and Jamar Fletcher),4.950,4.910
2,10:00,1,10,SDG 10,10,0,Edgerrin James right end for -2 yards (tackle by Shawne Merriman),4.910,3.860
