Unnamed: 0,SDG,IND
First Downs,18,21
Rush-Yds-TDs,37-206-1,15-24-1
Cmp-Att-Yd-TD-INT,22-33-255-1-2,26-45-336-1-2
Sacked-Yards,1-8,4-22
Net Pass Yards,247,314
Total Yards,453,338
Fumbles-Lost,2-2,1-1
Turnovers,4,3
Penalties-Yards,11-75,8-67
Third Down Conv.,7-17,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,34:32,25:28
