Quarter,Time,Tm,Detail,WAS,DET
1.0,7:12,Lions,Marvin Hall 55 yard pass from Matthew Stafford (Matt Prater kick),0,7
,3:25,Washington,Dustin Hopkins 38 yard field goal,3,7
2.0,11:55,Lions,Marvin Jones 27 yard pass from Matthew Stafford (Matt Prater kick),3,14
,0:08,Lions,Matt Prater 53 yard field goal,3,17
3.0,7:58,Lions,D'Andre Swift 15 yard pass from Matthew Stafford (Matt Prater kick),3,24
,2:30,Washington,J.D. McKissic 2 yard rush (Dustin Hopkins kick),10,24
4.0,11:21,Washington,Antonio Gibson 2 yard rush (Dustin Hopkins kick),17,24
,6:09,Washington,Antonio Gibson 5 yard rush (Dustin Hopkins kick),24,24
,2:37,Lions,Matt Prater 37 yard field goal,24,27
,0:16,Washington,Dustin Hopkins 41 yard field goal,27,27
,0:00,Lions,Matt Prater 59 yard field goal,27,30
