Quarter,Time,Down,ToGo,Location,WAS,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Washington to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,Peyton Barber up the middle for 1 yard (tackle by Austin Bryant and Jamie Collins),0.610,0.200
1,14:25,2,9,WAS 26,0,0,Alex Smith pass complete deep middle to Isaiah Wright for 22 yards (tackle by Jamie Collins),0.200,2.130
1,13:45,1,10,WAS 48,0,0,Alex Smith right end for 5 yards (tackle by Desmond Trufant),2.130,2.260
1,13:12,2,5,DET 47,0,0,Antonio Gibson up the middle for 4 yards (tackle by Romeo Okwara),2.260,2.080
1,12:30,3,1,DET 43,0,0,Antonio Gibson up the middle for 3 yards (tackle by Jamie Collins),2.080,2.920
1,11:51,1,10,DET 40,0,0,Alex Smith pass complete short left to Terry McLaurin for 19 yards (tackle by Desmond Trufant),2.920,4.170
1,11:14,1,10,DET 21,0,0,Antonio Gibson left end for 7 yards (tackle by Everson Griffen),4.170,4.740
1,10:42,2,3,DET 14,0,0,J.D. McKissic left end for -10 yards (tackle by Reggie Ragland),4.740,2.540
1,9:58,3,13,DET 24,0,0,Alex Smith sacked by Romeo Okwara for -14 yards,2.540,0.720
1,9:12,4,27,DET 38,0,0,"Tress Way punts 30 yards, fair catch by Danny Amendola at DET-8",0.720,0.380
1,9:04,1,10,DET 8,0,0,D'Andre Swift right tackle for 5 yards (tackle by Cole Holcomb),-0.380,-0.410
1,8:35,2,5,DET 13,0,0,Matthew Stafford pass complete short left to Marvin Jones for 5 yards (tackle by Cole Holcomb). Penalty on Chase Young: Defensive Offside (Declined),-0.410,0.040
1,8:27,1,10,DET 18,0,0,D'Andre Swift left end for 11 yards (tackle by Kendall Fuller),0.040,0.870
1,7:56,1,10,DET 29,0,0,D'Andre Swift up the middle for 16 yards (tackle by Kamren Curl),0.870,1.930
1,7:20,1,10,DET 45,0,6,"Matthew Stafford pass complete deep left to Marvin Hall for 55 yards, touchdown. Penalty on Kendall Fuller: Defensive Pass Interference (Declined)",1.930,7.000
1,7:12,,,WAS 15,0,7,Matt Prater kicks extra point good,0.000,0.000
1,7:12,,,DET 35,0,7,"Jack Fox kicks off 58 yards, returned by Danny Johnson for 19 yards (tackle by C.J. Moore)",0.000,0.670
