Unnamed: 0,WAS,DET
First Downs,34,21
Rush-Yds-TDs,26-89-3,21-105-0
Cmp-Att-Yd-TD-INT,38-55-390-0-0,24-33-276-3-0
Sacked-Yards,2-15,1-9
Net Pass Yards,375,267
Total Yards,464,372
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,6-58,9-55
Third Down Conv.,7-15,4-10
Fourth Down Conv.,2-2,0-0
Time of Possession,35:43,24:17
