Quarter,Time,Down,ToGo,Location,HOU,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,HOU 25,0,0,Brock Osweiler pass complete short left to DeAndre Hopkins for 4 yards (tackle by Dont'a Hightower),0.610,0.600
1,14:28,2,6,HOU 29,0,0,Lamar Miller right guard for 2 yards (tackle by Malcom Brown and Dont'a Hightower),0.600,0.170
1,13:46,3,4,HOU 31,0,0,Brock Osweiler sacked by Rob Ninkovich for -3 yards,0.170,-1.500
1,13:13,4,7,HOU 28,0,0,"Shane Lechler punts 47 yards, returned by Julian Edelman for 14 yards (tackle by Corey Moore)",-1.500,-1.530
1,13:01,1,10,NWE 39,0,0,Tom Brady pass complete short left to Julian Edelman for 6 yards (tackle by Johnathan Joseph),1.530,1.800
1,12:24,2,4,NWE 45,0,0,Dion Lewis middle for 3 yards (tackle by Andre Hal and Brian Cushing),1.800,1.490
1,12:00,3,1,NWE 48,0,0,Dion Lewis middle for -1 yards (tackle by Jadeveon Clowney),1.490,-0.260
1,11:11,4,2,NWE 47,0,0,"Ryan Allen punts 34 yards, fair catch by Tyler Ervin",-0.260,-0.150
1,11:05,1,10,HOU 19,0,0,Lamar Miller left guard for 2 yards (tackle by Trey Flowers and Alan Branch),0.150,-0.060
1,10:25,2,8,HOU 21,0,0,Brock Osweiler pass incomplete short left intended for Will Fuller,-0.060,-0.810
1,10:21,3,8,HOU 21,0,0,Brock Osweiler pass incomplete short right intended for Keith Mumphery (defended by Logan Ryan),-0.810,-1.960
1,10:16,4,8,HOU 21,0,0,"Shane Lechler punts 44 yards, fair catch by Julian Edelman",-1.960,-1.270
1,10:10,1,10,NWE 35,0,0,"Tom Brady pass incomplete deep left intended for Chris Hogan. Penalty on A.J. Bouye: Defensive Pass Interference, 30 yards (no play)",1.270,3.250
1,10:04,1,10,HOU 35,0,0,Tom Brady pass complete deep right to Chris Hogan for 22 yards,3.250,4.710
1,9:34,1,10,HOU 13,0,6,"Tom Brady pass complete short left to Dion Lewis for 13 yards, touchdown",4.710,7.000
1,9:27,,,HOU 15,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,9:27,,,NWE 35,0,7,"Stephen Gostkowski kicks off 64 yards, returned by Akeem Hunt for 22 yards (tackle by Matt Slater)",0.000,-0.480
1,9:22,1,10,HOU 23,0,7,"Brock Osweiler pass complete short left to Akeem Hunt for 3 yards (tackle by Dont'a Hightower). Penalty on DeAndre Hopkins: Offensive Pass Interference, 10 yards (no play)",0.480,-0.590
1,8:56,1,20,HOU 13,0,7,Brock Osweiler pass complete short right to Will Fuller for 7 yards (tackle by Malcolm Butler),-0.590,-0.470
1,8:18,2,13,HOU 20,0,7,Brock Osweiler sacked by Logan Ryan for -5 yards,-0.470,-2.150
1,7:35,3,18,HOU 15,0,7,"Brock Osweiler pass complete short middle to DeAndre Hopkins for 10 yards (tackle by Malcolm Butler). Penalty on Eric Rowe: Unsportsmanlike Conduct, 15 yards",-2.150,1.600
1,7:08,1,10,HOU 40,0,7,Lamar Miller right end for 5 yards (tackle by Logan Ryan and Devin McCourty),1.600,1.730
1,6:30,2,5,HOU 45,0,7,Brock Osweiler pass complete short right to Lamar Miller for 6 yards (tackle by Jabaal Sheard),1.730,2.320
1,5:57,1,10,NWE 49,0,7,Lamar Miller left guard for 7 yards (tackle by Dont'a Hightower and Devin McCourty),2.320,2.730
1,5:27,2,3,NWE 42,0,7,Lamar Miller middle for no gain (tackle by Alan Branch),2.730,2.020
1,4:46,3,3,NWE 42,0,7,Brock Osweiler pass complete short right to Jonathan Grimes for 6 yards (tackle by Eric Rowe),2.020,3.180
1,4:11,1,10,NWE 36,0,7,Brock Osweiler pass complete short middle to C.J. Fiedorowicz for 9 yards (tackle by Patrick Chung),3.180,3.850
1,3:28,2,1,NWE 27,0,7,Jonathan Grimes middle for 6 yards (tackle by Trey Flowers),3.850,4.170
1,2:49,1,10,NWE 21,0,7,Brock Osweiler pass incomplete deep left intended for C.J. Fiedorowicz,4.170,3.630
1,2:44,2,10,NWE 21,0,7,Lamar Miller left end for 4 yards (tackle by Logan Ryan),3.630,3.460
1,2:05,3,6,NWE 17,0,7,Brock Osweiler pass complete short left to Akeem Hunt for 2 yards,3.460,2.520
1,1:19,4,4,NWE 15,3,7,Nick Novak 33 yard field goal good,2.520,3.000
