Quarter,Time,Tm,Detail,CHI,PHI
1.0,6:45,Eagles,Jake Elliott 28 yard field goal,0,3
2.0,13:22,Eagles,Jake Elliott 28 yard field goal,0,6
,6:21,Eagles,Zach Ertz 25 yard pass from Carson Wentz (Jake Elliott kick failed),0,12
3.0,10:37,Eagles,Jordan Howard 13 yard rush (Jake Elliott kick),0,19
,6:29,Bears,David Montgomery 1 yard rush (Eddy Pineiro kick),7,19
4.0,12:43,Bears,David Montgomery 1 yard rush (Eddy Pineiro kick),14,19
,0:25,Eagles,Jake Elliott 38 yard field goal,14,22
