Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 53 yards, returned by Cordarrelle Patterson for 15 yards (tackle by Rodney McLeod)",0.000,0.740
1,14:55,1,10,CHI 27,0,0,David Montgomery up the middle for 4 yards (tackle by Fletcher Cox),0.740,0.740
1,14:10,2,6,CHI 31,0,0,David Montgomery up the middle for -3 yards (tackle by Brandon Graham and Kamu Grugier-Hill),0.740,-0.360
1,13:33,3,9,CHI 28,0,0,Mitchell Trubisky pass incomplete short right intended for Allen Robinson,-0.360,-1.500
1,13:29,4,9,CHI 28,0,0,"Pat O'Donnell punts 72 yards, touchback.",-1.500,-0.280
1,13:18,1,10,PHI 20,0,0,"Carson Wentz pass incomplete short right intended for DeSean Jackson. Penalty on Kyle Fuller: Defensive Pass Interference, 8 yards (no play)",0.280,0.810
1,13:15,1,10,PHI 28,0,0,Jordan Howard left tackle for 12 yards (tackle by Ha Ha Clinton-Dix),0.810,1.600
1,12:37,1,10,PHI 40,0,0,Carson Wentz pass complete short left to Nelson Agholor for 12 yards (tackle by Buster Skrine),1.600,2.390
1,12:12,1,10,CHI 48,0,0,Jordan Howard left guard for 3 yards (tackle by Leonard Floyd),2.390,2.250
1,11:41,2,7,CHI 45,0,0,Carson Wentz pass complete short right to DeSean Jackson for 5 yards (tackle by Kyle Fuller),2.250,2.210
1,10:56,3,2,CHI 40,0,0,Carson Wentz pass incomplete short left intended for Nelson Agholor,2.210,0.590
1,10:52,4,2,CHI 40,0,0,Carson Wentz pass complete short middle to Zach Ertz for 15 yards (tackle by Eddie Jackson),0.590,3.910
1,10:13,1,10,CHI 25,0,0,"Jordan Howard left end for 11 yards (tackle by Ha Ha Clinton-Dix). Penalty on Jason Kelce: Offensive Holding, 10 yards (no play)",3.910,3.250
1,9:41,1,20,CHI 35,0,0,Carson Wentz pass complete short right to Miles Sanders for 19 yards (tackle by James Vaughters),3.250,4.750
1,8:55,2,1,CHI 16,0,0,Miles Sanders right guard for 11 yards (tackle by Eddie Jackson),4.750,6.060
1,8:15,1,5,CHI 5,0,0,Jordan Howard left tackle for 2 yards (tackle by Eddie Goldman),6.060,5.530
1,7:30,2,3,CHI 3,0,0,Carson Wentz pass incomplete short right intended for Dallas Goedert (defended by Khalil Mack),5.530,4.720
1,7:24,3,3,CHI 3,0,0,Carson Wentz sacked by Eddie Goldman for -7 yards,4.720,2.760
1,6:48,4,10,CHI 10,0,3,Jake Elliott 28 yard field goal good,2.760,3.000
1,6:45,,,PHI 35,0,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,6:45,1,10,CHI 25,0,3,Mitchell Trubisky sacked by Brandon Graham for -4 yards,0.610,-0.480
1,6:04,2,14,CHI 21,0,3,Mitchell Trubisky pass incomplete short left intended for Tarik Cohen,-0.480,-1.150
1,5:59,3,14,CHI 21,0,3,Mitchell Trubisky pass complete short left to David Montgomery for 2 yards (tackle by Brandon Graham). Penalty on Charles Leno: Offensive Holding (Declined),-1.150,-1.830
1,5:45,4,12,CHI 23,0,3,"Pat O'Donnell punts 48 yards, fair catch by Darren Sproles at PHI-29. Penalty on Boston Scott: Running Into the Kicker (Declined)",-1.830,-0.870
1,5:38,1,10,PHI 29,0,3,Jordan Howard left guard for 6 yards (tackle by Roquan Smith and Nick Williams),0.870,1.140
1,4:59,2,4,PHI 35,0,3,Carson Wentz pass complete short right to Alshon Jeffery for 5 yards (tackle by Kyle Fuller),1.140,1.600
1,4:27,1,10,PHI 40,0,3,Jordan Howard up the middle for 5 yards (tackle by Danny Trevathan),1.600,1.730
1,3:47,2,5,PHI 45,0,3,"Penalty on Khalil Mack: Neutral Zone Infraction, 4 yards (no play)",1.730,2.270
1,3:24,2,1,PHI 49,0,3,Carson Wentz pass complete short right to Jordan Howard for 1 yard (tackle by Roquan Smith),2.270,2.260
1,2:52,1,10,PHI 50,0,3,"Carson Wentz pass incomplete short left. Penalty on Aaron Lynch: Defensive Offside, 5 yards (no play)",2.260,2.990
1,2:46,1,5,CHI 45,0,3,Carson Wentz pass complete short middle to Zach Ertz for 6 yards (tackle by Roquan Smith),2.990,2.980
1,2:12,1,10,CHI 39,0,3,Miles Sanders left guard for 4 yards (tackle by Brent Urban and Bilal Nichols),2.980,2.980
1,1:30,2,6,CHI 35,0,3,Miles Sanders left end for 5 yards (tackle by Bilal Nichols and Roquan Smith),2.980,2.940
1,0:56,,,,,,Timeout #1 by Chicago Bears,,
1,0:56,3,1,CHI 30,0,3,Carson Wentz pass complete short left to Zach Ertz for 15 yards (tackle by Prince Amukamara),2.940,4.580
1,0:09,1,10,CHI 15,0,3,Jordan Howard up the middle for 3 yards (tackle by Danny Trevathan and Nick Williams),4.580,4.450
Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CHI 12,0,3,Carson Wentz sacked by Nick Williams for no gain,4.450,3.580
2,14:20,3,7,CHI 12,0,3,"Penalty on Eddie Goldman: Neutral Zone Infraction, 5 yards (no play)",3.580,4.680
2,14:01,3,2,CHI 7,0,3,Carson Wentz pass complete short left to Miles Sanders for -3 yards (tackle by Prince Amukamara),4.680,2.810
2,13:25,4,5,CHI 10,0,6,Jake Elliott 28 yard field goal good,2.810,3.000
2,13:22,,,PHI 35,0,6,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,13:22,1,10,CHI 25,0,6,"David Montgomery left tackle for 3 yards (tackle by Josh Sweat). Penalty on Cordarrelle Patterson: Offensive Holding, 10 yards (no play)",0.610,-0.410
2,13:01,1,20,CHI 15,0,6,"David Montgomery up the middle for 8 yards (tackle by Malcolm Jenkins). Penalty on Timmy Jernigan: Defensive Offside, 5 yards (no play)",-0.410,0.280
2,12:39,1,15,CHI 20,0,6,Mitchell Trubisky pass complete short right to David Montgomery for 4 yards (tackle by Vinny Curry and T.J. Edwards),0.280,-0.070
2,11:56,2,11,CHI 24,0,6,Mitchell Trubisky pass complete short left to Taylor Gabriel for 3 yards (tackle by Timmy Jernigan),-0.070,-0.360
2,11:14,,,,,,Timeout #2 by Chicago Bears,,
2,11:14,3,8,CHI 27,0,6,Mitchell Trubisky sacked by Josh Sweat for -8 yards,-0.360,-2.140
2,10:26,4,16,CHI 19,0,6,"Pat O'Donnell punts 43 yards, fair catch by Darren Sproles at PHI-38",-2.140,-1.470
2,10:19,1,10,PHI 38,0,6,Miles Sanders right end for 4 yards (tackle by Ha Ha Clinton-Dix),1.470,1.460
2,9:37,2,6,PHI 42,0,6,Carson Wentz pass complete short middle to Zach Ertz for 11 yards (tackle by Kyle Fuller),1.460,2.460
2,8:59,1,10,CHI 47,0,6,Carson Wentz pass incomplete deep right intended for Alshon Jeffery,2.460,1.910
2,8:54,2,10,CHI 47,0,6,Miles Sanders up the middle for 5 yards (tackle by Khalil Mack),1.910,1.880
