Unnamed: 0,CHI,PHI
First Downs,10,26
Rush-Yds-TDs,18-62-2,35-146-1
Cmp-Att-Yd-TD-INT,10-21-125-0-0,26-39-239-1-0
Sacked-Yards,3-23,4-12
Net Pass Yards,102,227
Total Yards,164,373
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,9-70,8-75
Third Down Conv.,2-10,8-18
Fourth Down Conv.,0-0,1-1
Time of Possession,19:42,40:18
