Unnamed: 0,TEN,SDG
First Downs,24,31
Rush-Yds-TDs,19-80-2,39-208-1
Cmp-Att-Yd-TD-INT,27-43-313-3-2,24-33-275-2-0
Sacked-Yards,0-0,1-7
Net Pass Yards,313,268
Total Yards,393,476
Fumbles-Lost,1-1,0-0
Turnovers,3,0
Penalties-Yards,8-57,14-107
Third Down Conv.,5-11,5-11
Fourth Down Conv.,1-1,0-0
Time of Possession,23:31,36:29
