Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,SDG 25,0,0,Melvin Gordon middle for 1 yard (tackle by Jurrell Casey),0.610,0.200
1,14:25,2,9,SDG 26,0,0,Philip Rivers pass complete short right to Dontrelle Inman for 5 yards (tackle by Jason McCourty),0.200,0.170
1,13:42,3,4,SDG 31,0,0,Philip Rivers pass complete short right to Antonio Gates for 17 yards (tackle by Jurrell Casey),0.170,2.130
1,13:04,1,10,SDG 48,0,0,Melvin Gordon left end for 5 yards (tackle by Brian Orakpo),2.130,2.260
1,12:34,2,5,TEN 47,0,0,Philip Rivers pass complete short left to Tyrell Williams for 12 yards (tackle by Jason McCourty),2.260,3.250
1,11:49,1,10,TEN 35,0,0,Philip Rivers pass complete short right to Dontrelle Inman for 11 yards (tackle by Perrish Cox),3.250,3.970
1,11:11,1,10,TEN 24,0,0,Philip Rivers pass complete short left to Travis Benjamin for 5 yards (tackle by Jason McCourty),3.970,4.120
1,10:46,2,5,TEN 19,0,0,Melvin Gordon middle for 6 yards (tackle by Karl Klug and Avery Williamson),4.120,4.710
1,10:07,1,10,TEN 13,0,6,"Philip Rivers pass complete short left to Antonio Gates for 13 yards, touchdown",4.710,7.000
1,10:02,,,TEN 15,0,6,Josh Lambo kicks extra point no good,0.000,-1.000
1,10:02,,,SDG 35,0,6,"Josh Lambo kicks off 60 yards, returned by Marc Mariani for 15 yards (tackle by Tourek Williams). Penalty on Karl Klug: Offensive Holding, 10 yards",0.000,0.380
1,9:54,1,10,TEN 10,0,6,Marcus Mariota pass incomplete short right intended for Delanie Walker,-0.380,-0.780
1,9:50,2,10,TEN 10,0,6,DeMarco Murray right tackle for 4 yards (tackle by Kyle Emanuel and Korey Toomer),-0.780,-0.950
1,9:07,3,6,TEN 14,0,6,Marcus Mariota pass incomplete short middle intended for Delanie Walker,-0.950,-2.470
1,9:02,4,6,TEN 14,0,6,"Brett Kern punts 36 yards, fair catch by Isaiah Burse",-2.470,-2.260
1,8:55,1,10,,0,6,Philip Rivers pass complete short middle to Dontrelle Inman for 17 yards (tackle by Kevin Byard),2.260,3.380
1,8:32,1,10,TEN 33,0,6,Melvin Gordon middle for 4 yards (tackle by Avery Williamson and Jurrell Casey),3.380,3.380
1,7:53,2,6,TEN 29,0,6,Philip Rivers pass incomplete short left intended for Antonio Gates. Penalty on Joe Barksdale: Illegal Motion (Declined),3.380,2.680
1,7:49,3,6,TEN 29,0,6,Philip Rivers pass complete short middle to Antonio Gates for 13 yards (tackle by Derrick Morgan),2.680,4.510
1,7:18,1,10,TEN 16,0,6,Melvin Gordon left tackle for -2 yards (tackle by Wesley Woodyard),4.510,3.640
1,6:42,2,12,TEN 18,0,6,"Philip Rivers pass complete short right to Melvin Gordon for 14 yards (tackle by Jason McCourty and Kevin Byard). Penalty on D.J. Fluker: Unnecessary Roughness, 15 yards",3.640,0.000
1,6:03,,,,0,6,Timeout #1 by Los Angeles Chargers,0.000,-4.310
1,6:03,1,10,TEN 19,0,6,Philip Rivers pass incomplete deep left intended for Dontrelle Inman,4.310,3.750
1,5:55,2,10,TEN 19,0,6,Philip Rivers pass complete short left to Jeremy Butler for 5 yards (tackle by Jason McCourty),3.750,3.760
1,5:15,3,5,TEN 14,0,6,Philip Rivers pass complete short middle to Melvin Gordon for 4 yards (tackle by Jurrell Casey),3.760,2.910
1,4:27,4,1,TEN 10,0,6,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",2.910,2.470
1,4:15,4,6,TEN 15,0,9,Josh Lambo 32 yard field goal good,2.470,3.000
1,4:11,,,SDG 35,0,9,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
1,4:10,1,10,TEN 25,0,9,DeMarco Murray right end for 3 yards (tackle by Korey Toomer and Joey Bosa),0.610,0.470
1,3:30,2,7,TEN 28,0,9,DeMarco Murray right tackle for 6 yards (tackle by Adrian Phillips),0.470,0.560
1,2:54,3,1,TEN 34,0,9,DeMarco Murray middle for -2 yards (tackle by Corey Liuget),0.560,-1.240
1,2:17,4,3,TEN 32,0,9,"Brett Kern punts 55 yards, fair catch by Isaiah Burse",-1.240,0.320
1,2:09,1,10,SDG 13,0,9,"Philip Rivers pass complete short left to Dontrelle Inman for 13 yards (tackle by Jason McCourty). Penalty on King Dunlap: Offensive Holding, 6 yards (no play)",-0.320,-0.610
1,1:47,1,16,SDG 7,0,9,Kenneth Farrow left guard for 5 yards (tackle by Avery Williamson),-0.610,-0.850
1,1:14,2,11,SDG 12,0,9,"Philip Rivers pass complete short left to Dontrelle Inman for -1 yards (tackle by Perrish Cox). Penalty on Brice McCain: Defensive Holding, 5 yards (no play)",-0.850,-0.060
1,0:49,1,10,SDG 17,0,9,Philip Rivers pass complete short right to Antonio Gates for 15 yards (tackle by Kevin Dodd),-0.060,1.070
1,0:12,1,10,SDG 32,0,9,Philip Rivers pass complete deep right to Tyrell Williams for 19 yards (tackle by Perrish Cox),1.070,2.320
Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 49,0,9,Melvin Gordon middle for 43 yards (tackle by Kevin Byard),2.320,5.830
2,14:22,1,6,TEN 6,0,15,"Philip Rivers pass complete short middle to Tyrell Williams for 6 yards, touchdown",5.830,7.000
2,14:18,,,TEN 15,0,16,"Josh Lambo kicks extra point good. Penalty on Angelo Blackson: Leverage, 15 yards",0.000,0.000
2,14:18,,,,0,16,"Josh Lambo kicks off 50 yards, touchback",0.000,-0.610
2,14:18,1,10,TEN 25,0,16,Marcus Mariota pass complete deep left to Delanie Walker for 20 yards (tackle by Korey Toomer),0.610,1.930
2,13:41,1,10,TEN 45,0,16,Antonio Andrews left end for 9 yards (tackle by Steve Williams),1.930,2.600
2,13:06,2,1,SDG 46,0,16,"DeMarco Murray left tackle for 5 yards (tackle by Adrian Phillips). Penalty on Melvin Ingram: Unsportsmanlike Conduct, 15 yards",2.600,3.840
2,12:34,1,10,SDG 26,0,16,Marcus Mariota pass incomplete short left intended for Delanie Walker (defended by Brandon Flowers),3.840,3.300
2,12:27,2,10,SDG 26,0,16,Marcus Mariota pass incomplete deep right intended for Rishard Matthews (defended by Adrian Phillips),3.300,0.000
2,12:26,,,,0,16,Timeout #2 by Los Angeles Chargers,0.000,-2.610
2,12:26,3,10,SDG 26,0,16,Marcus Mariota pass complete short middle to Anthony Fasano for 9 yards (tackle by Korey Toomer),2.610,2.460
2,11:59,4,1,SDG 17,0,16,DeMarco Murray middle for 1 yard (tackle by Kyle Emanuel),2.460,4.510
2,11:21,1,10,SDG 16,6,16,"Marcus Mariota pass complete short middle to Rishard Matthews for 16 yards, touchdown",4.510,7.000
2,11:14,,,SDG 15,7,16,Ryan Succop kicks extra point good,0.000,0.000
2,11:14,,,TEN 35,7,16,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,11:14,1,10,SDG 25,7,16,Melvin Gordon middle for 9 yards (tackle by Da'Norris Searcy),0.610,1.280
2,10:50,2,1,SDG 34,7,16,Melvin Gordon right tackle for 4 yards (tackle by Sean Spence and Jurrell Casey),1.280,1.470
2,10:23,1,10,SDG 38,7,16,Melvin Gordon left tackle for 3 yards (tackle by Brian Orakpo),1.470,1.330
2,9:48,2,7,SDG 41,7,16,Philip Rivers pass complete short left to Tyrell Williams for 16 yards (tackle by Da'Norris Searcy),1.330,2.720
2,9:18,1,10,TEN 43,7,16,Melvin Gordon right guard for 2 yards (tackle by Daimion Stafford and Sean Spence),2.720,2.450
2,8:34,2,8,TEN 41,7,16,"Penalty on Joe Barksdale: False Start, 4 yards (no play)",2.450,1.910
2,8:10,2,12,TEN 45,7,16,Melvin Gordon middle for -4 yards (tackle by Derrick Morgan),1.910,0.700
2,7:26,3,16,TEN 49,7,16,Philip Rivers sacked by Wesley Woodyard for -7 yards,0.700,-0.460
2,6:55,4,23,SDG 44,7,16,"Drew Kaser punts 39 yards, fair catch by Marc Mariani. Penalty on Korey Toomer: Offensive Holding, 10 yards",-0.460,-0.740
