Quarter,Time,Tm,Detail,TEN,SDG
1.0,10:02,Chargers,Antonio Gates 13 yard pass from Philip Rivers (Josh Lambo kick failed),0,6
,4:11,Chargers,Josh Lambo 32 yard field goal,0,9
2.0,14:18,Chargers,Tyrell Williams 6 yard pass from Philip Rivers (Josh Lambo kick),0,16
,11:14,Titans,Rishard Matthews 16 yard pass from Marcus Mariota (Ryan Succop kick),7,16
,1:32,Chargers,Josh Lambo 23 yard field goal,7,19
,0:14,Titans,Rishard Matthews 7 yard pass from Marcus Mariota (Ryan Succop kick),14,19
3.0,12:19,Titans,Marcus Mariota 14 yard rush (Ryan Succop kick),21,19
,5:28,Chargers,Melvin Gordon 1 yard rush (Josh Lambo kick),21,26
,2:31,Chargers,Dwight Lowery 36 yard defensive fumble return (Josh Lambo kick),21,33
4.0,9:51,Titans,Delanie Walker 8 yard pass from Marcus Mariota (Ryan Succop kick),28,33
,6:05,Chargers,Josh Lambo 36 yard field goal,28,36
,4:51,Chargers,Brandon Flowers 33 yard interception return (Josh Lambo kick),28,43
,2:45,Titans,DeMarco Murray 1 yard rush (Ryan Succop kick),35,43
