Unnamed: 0,STL,DAL
First Downs,20,15
Rush-Yds-TDs,33-106-2,22-57-0
Cmp-Att-Yd-TD-INT,19-32-158-0-0,18-39-242-1-2
Sacked-Yards,2-11,5-28
Net Pass Yards,147,214
Total Yards,253,271
Fumbles-Lost,0-0,5-2
Turnovers,0,4
Penalties-Yards,7-40,10-78
Third Down Conv.,6-16,6-16
Fourth Down Conv.,0-0,0-0
Time of Possession,33:43,26:17
