#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:08,STL 10,5,2:55,12,Punt
2,1,8:12,STL 11,5,2:18,11,Punt
3,1,2:36,STL 29,8,3:21,40,Field Goal
4,2,12:45,STL 28,12,5:45,63,Missed FG
5,2,5:11,STL 46,8,3:19,54,Touchdown
6,2,0:03,DAL 45,1,0:03,0,End of Half
7,3,15:00,STL 32,3,2:11,1,Punt
8,3,11:52,DAL 34,6,2:14,-1,Missed FG
9,3,5:45,STL 30,5,3:23,12,Punt
10,4,13:31,DAL 40,4,1:34,40,Touchdown
11,4,9:28,STL 37,3,2:08,9,Punt
12,4,6:00,STL 15,6,3:19,25,Punt
13,4,2:07,DAL 3,4,1:02,1,Field Goal
14,4,0:11,DAL 46,1,0:11,-1,End of Game
