Unnamed: 0,WAS,GNB
First Downs,18,28
Rush-Yds-TDs,17-108-0,24-139-1
Cmp-Att-Yd-TD-INT,26-40-320-3-1,34-42-480-4-0
Sacked-Yards,1-6,4-39
Net Pass Yards,314,441
Total Yards,422,580
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,7-78,4-40
Third Down Conv.,3-11,4-10
Fourth Down Conv.,1-2,1-1
Time of Possession,27:31,32:29
