Quarter,Time,Tm,Detail,WAS,GNB
1.0,8:02,Packers,Mason Crosby 28 yard field goal,0,3
,2:27,Packers,Randall Cobb 35 yard pass from Aaron Rodgers (Mason Crosby kick),0,10
2.0,11:40,Packers,Jordy Nelson 14 yard pass from Aaron Rodgers (Mason Crosby kick),0,17
,7:07,Packers,Jermichael Finley 3 yard pass from Aaron Rodgers (Mason Crosby kick),0,24
3.0,8:16,Packers,Jordy Nelson 15 yard pass from Aaron Rodgers (Mason Crosby kick),0,31
,4:15,Redskins,Pierre Garcon 6 yard pass from Robert Griffin III (John Potter kick),7,31
,2:41,Packers,James Starks 32 yard rush (Mason Crosby kick),7,38
4.0,11:02,Redskins,Jordan Reed 3 yard pass from Robert Griffin III (John Potter kick),14,38
,7:36,Redskins,Santana Moss 9 yard pass from Robert Griffin III (pass failed),20,38
