Unnamed: 0,CLE,BAL
First Downs,12,16
Rush-Yds-TDs,18-70-0,33-150-0
Cmp-Att-Yd-TD-INT,16-30-147-0-1,23-31-213-1-1
Sacked-Yards,4-31,1-12
Net Pass Yards,116,201
Total Yards,186,351
Fumbles-Lost,3-2,1-0
Turnovers,3,1
Penalties-Yards,8-53,11-97
Third Down Conv.,4-11,6-15
Fourth Down Conv.,0-0,2-2
Time of Possession,22:55,37:05
