Quarter,Time,Tm,Detail,TEN,IND
1.0,8:41,Titans,Chris Brown 8 yard rush (Rob Bironas kick),7,0
2.0,10:40,Colts,Adam Vinatieri 37 yard field goal,7,3
3.0,9:09,Colts,Craphonso Thorpe 3 yard pass from Jim Sorgi (Adam Vinatieri kick),7,10
,1:05,Titans,Rob Bironas 40 yard field goal,10,10
4.0,7:33,Titans,Rob Bironas 54 yard field goal,13,10
,2:56,Titans,Rob Bironas 33 yard field goal,16,10
