Unnamed: 0,TEN,IND
First Downs,25,13
Rush-Yds-TDs,39-98-1,10-46-0
Cmp-Att-Yd-TD-INT,24-31-263-0-0,25-40-163-1-0
Sacked-Yards,1-5,2-15
Net Pass Yards,258,148
Total Yards,356,194
Fumbles-Lost,2-2,1-1
Turnovers,2,1
Penalties-Yards,6-40,5-54
Third Down Conv.,8-15,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,35:32,24:28
