Unnamed: 0,OAK,TEN
First Downs,22,21
Rush-Yds-TDs,29-109-0,21-95-1
Cmp-Att-Yd-TD-INT,22-32-262-2-0,25-41-256-0-0
Sacked-Yards,2-12,1-1
Net Pass Yards,250,255
Total Yards,359,350
Fumbles-Lost,3-0,0-0
Turnovers,0,0
Penalties-Yards,5-49,5-49
Third Down Conv.,5-12,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,31:39,28:21
