Quarter,Time,Down,ToGo,Location,OAK,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ryan Succop kicks onside 15 yards, recovered by Shalom Luani",0.000,-2.260
1,14:58,1,10,,0,0,Derek Carr pass complete short right to Amari Cooper for 6 yards (tackle by Adoree' Jackson),2.260,2.520
1,14:16,2,4,TEN 44,0,0,Marshawn Lynch right tackle for 14 yards (tackle by Kevin Byard),2.520,3.580
1,13:40,1,10,TEN 30,0,0,Derek Carr pass complete short right to Jared Cook for 22 yards,3.580,5.370
1,13:02,1,8,TEN 8,6,0,"Derek Carr pass complete short right to Amari Cooper for 8 yards, touchdown",5.370,7.000
1,12:49,,,TEN 15,7,0,Giorgio Tavecchio kicks extra point good,0.000,0.000
1,12:49,,,OAK 35,7,0,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
1,12:49,1,10,TEN 25,7,0,Marcus Mariota pass incomplete short left intended for Rishard Matthews,0.610,0.060
1,12:44,2,10,TEN 25,7,0,Marcus Mariota pass incomplete short right intended for Eric Decker (defended by Bruce Irvin),0.060,-0.620
1,12:39,3,10,TEN 25,7,0,Marcus Mariota pass complete deep middle to Rishard Matthews for 19 yards (tackle by Karl Joseph),-0.620,1.860
1,11:57,1,10,TEN 44,7,0,DeMarco Murray left tackle for 5 yards (tackle by Justin Ellis),1.860,1.990
1,11:18,2,5,TEN 49,7,0,DeMarco Murray right guard for 5 yards (tackle by Mario Edwards and Karl Joseph),1.990,2.520
1,10:40,1,10,OAK 46,7,0,DeMarco Murray left guard for 2 yards (tackle by T.J. Carrie),2.520,2.250
1,9:59,2,8,OAK 44,7,0,Marcus Mariota pass incomplete short middle intended for Eric Decker,2.250,1.550
1,9:55,3,8,OAK 44,7,0,Marcus Mariota pass complete short right to Rishard Matthews for 9 yards (tackle by Dexter McDonald),1.550,3.250
1,9:11,1,10,OAK 35,7,0,DeMarco Murray middle for 1 yard (tackle by Khalil Mack),3.250,2.840
1,8:31,2,9,OAK 34,7,0,DeMarco Murray right guard for 1 yard (tackle by Mario Edwards),2.840,2.280
1,7:49,3,8,OAK 33,7,0,Marcus Mariota pass complete deep right to Corey Davis for 23 yards (tackle by David Amerson),2.280,4.910
1,7:04,1,10,OAK 10,7,6,"Marcus Mariota left end for 10 yards, touchdown",4.910,7.000
1,6:58,,,OAK 15,7,7,Ryan Succop kicks extra point good,0.000,0.000
1,6:58,,,TEN 35,7,7,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,6:58,1,10,OAK 25,7,7,Marshawn Lynch left tackle for 4 yards (tackle by Sylvester Williams and Wesley Woodyard),0.610,0.600
1,6:16,2,6,OAK 29,7,7,Derek Carr pass incomplete short left intended for Amari Cooper,0.600,-0.100
1,6:11,3,6,OAK 29,7,7,Derek Carr pass complete short left to Jared Cook for 12 yards (tackle by Jayon Brown and Johnathan Cyprien),-0.100,1.660
1,5:28,1,10,OAK 41,7,7,Cordarrelle Patterson left end for 5 yards (tackle by Kevin Byard),1.660,1.800
1,4:40,2,5,OAK 46,7,7,"Derek Carr pass complete short left to Michael Crabtree for 9 yards (tackle by Brice McCain). Penalty on Michael Crabtree: Offensive Pass Interference, 10 yards (no play)",1.800,0.450
1,4:09,2,15,OAK 36,7,7,Derek Carr pass incomplete short left intended for Amari Cooper,0.450,-0.230
1,4:05,3,15,OAK 36,7,7,"Derek Carr pass incomplete deep right intended for Michael Crabtree. Penalty on Adoree' Jackson: Defensive Pass Interference, 24 yards (no play)",-0.230,2.920
1,3:59,1,10,TEN 40,7,7,Marshawn Lynch middle for 3 yards (tackle by Wesley Woodyard),2.920,2.780
1,3:23,2,7,TEN 37,7,7,Derek Carr pass complete short middle to Michael Crabtree for 25 yards (tackle by Karl Klug),2.780,4.780
1,2:51,1,10,TEN 12,7,7,Marshawn Lynch left tackle for 5 yards (tackle by Wesley Woodyard),4.780,5.020
1,2:10,2,5,TEN 7,7,7,Derek Carr pass complete short left to Cordarrelle Patterson for 2 yards (tackle by Tye Smith),5.020,4.610
1,1:25,3,3,TEN 5,7,7,Marshawn Lynch middle for 2 yards (tackle by Derrick Morgan and Johnathan Cyprien),4.610,0.000
1,0:45,,,,,,Timeout #1 by Oakland Raiders,0.000,-3.060
1,0:45,4,1,TEN 3,7,7,Marshawn Lynch right guard for 1 yard (tackle by Wesley Woodyard),3.060,6.740
1,0:10,1,2,TEN 2,7,7,Derek Carr pass incomplete short right intended for Amari Cooper,6.740,5.720
