Quarter,Time,Tm,Detail,OAK,TEN
1.0,12:49,Raiders,Amari Cooper 8 yard pass from Derek Carr (Giorgio Tavecchio kick),7,0
,6:58,Titans,Marcus Mariota 10 yard rush (Ryan Succop kick),7,7
2.0,14:55,Raiders,Giorgio Tavecchio 20 yard field goal,10,7
,0:43,Titans,Ryan Succop 23 yard field goal,10,10
,0:00,Raiders,Giorgio Tavecchio 52 yard field goal,13,10
3.0,4:31,Raiders,Giorgio Tavecchio 52 yard field goal,16,10
,0:00,Titans,Ryan Succop 26 yard field goal,16,13
4.0,11:58,Raiders,Seth Roberts 19 yard pass from Derek Carr (Giorgio Tavecchio kick),23,13
,4:49,Titans,Ryan Succop 52 yard field goal,23,16
,1:09,Raiders,Giorgio Tavecchio 43 yard field goal,26,16
