Unnamed: 0,BAL,HOU
First Downs,27,19
Rush-Yds-TDs,40-157-2,16-75-0
Cmp-Att-Yd-TD-INT,16-24-199-3-0,23-38-294-1-4
Sacked-Yards,3-28,2-14
Net Pass Yards,171,280
Total Yards,328,355
Fumbles-Lost,1-0,0-0
Turnovers,0,4
Penalties-Yards,7-55,10-76
Third Down Conv.,5-11,3-8
Fourth Down Conv.,0-0,0-1
Time of Possession,36:09,23:51
