Unnamed: 0,NYG,NOR
First Downs,29,31
Rush-Yds-TDs,22-73-1,30-205-3
Cmp-Att-Yd-TD-INT,33-47-406-2-1,25-39-372-4-0
Sacked-Yards,1-14,0-0
Net Pass Yards,392,372
Total Yards,465,577
Fumbles-Lost,4-1,0-0
Turnovers,2,0
Penalties-Yards,4-32,11-104
Third Down Conv.,5-11,5-9
Fourth Down Conv.,0-2,0-2
Time of Possession,31:28,28:32
