Quarter,Time,Tm,Detail,NYJ,CLE
1.0,11:10,Browns,Jerome Ford 7 yard pass from Joe Flacco (Riley Patterson kick),0,7
,8:06,Jets,Breece Hall 21 yard pass from Trevor Siemian (Greg Zuerlein kick),7,7
,4:43,Browns,Kareem Hunt 7 yard rush (Riley Patterson kick failed),7,13
,2:01,Browns,Ronnie Hickman 30 yard interception return (Riley Patterson kick),7,20
2.0,6:15,Browns,Elijah Moore 8 yard pass from Joe Flacco (Riley Patterson kick),7,27
,2:02,Jets,Jermaine Johnson II 37 yard interception return (Greg Zuerlein kick),14,27
,1:25,Browns,Jerome Ford 50 yard pass from Joe Flacco (Riley Patterson kick),14,34
,0:00,Jets,Greg Zuerlein 46 yard field goal,17,34
4.0,8:50,Jets,Greg Zuerlein 44 yard field goal,20,34
,2:54,Browns,Riley Patterson 33 yard field goal,20,37
