Unnamed: 0,NYJ,CLE
First Downs,17,20
Rush-Yds-TDs,21-107-0,28-127-1
Cmp-Att-Yd-TD-INT,32-45-261-1-1,19-29-309-3-1
Sacked-Yards,2-8,1-8
Net Pass Yards,253,301
Total Yards,360,428
Fumbles-Lost,1-1,4-2
Turnovers,2,3
Penalties-Yards,12-74,4-26
Third Down Conv.,6-16,5-10
Fourth Down Conv.,1-2,0-1
Time of Possession,31:51,28:09
