Unnamed: 0,BAL,CIN
First Downs,14,26
Rush-Yds-TDs,34-254-2,26-109-0
Cmp-Att-Yd-TD-INT,11-18-126-1-0,25-52-316-0-3
Sacked-Yards,2-0,4-27
Net Pass Yards,126,289
Total Yards,380,398
Fumbles-Lost,5-2,1-1
Turnovers,2,4
Penalties-Yards,9-71,5-25
Third Down Conv.,5-13,6-15
Fourth Down Conv.,0-0,0-1
Time of Possession,26:48,33:12
