Quarter,Time,Tm,Detail,BAL,CIN
1.0,9:43,Ravens,Matt Stover 21 yard field goal,3,0
,1:52,Ravens,Kyle Boller 7 yard rush (Matt Stover kick),10,0
2.0,3:06,Ravens,Randy Hymes 38 yard pass from Kyle Boller (Matt Stover kick),17,0
,0:00,Bengals,Shayne Graham 29 yard field goal,17,3
3.0,6:08,Bengals,Shayne Graham 47 yard field goal,17,6
4.0,9:03,Bengals,Shayne Graham 26 yard field goal,17,9
,8:45,Ravens,Jamal Lewis 75 yard rush (pass failed),23,9
