Quarter,Time,Tm,Detail,MIA,NYG
2.0,9:03,Dolphins,DeVante Parker 20 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,0
,8:01,Giants,Golden Tate 51 yard pass from Eli Manning (Aldrick Rosas kick),7,7
,0:44,Dolphins,Jason Sanders 24 yard field goal,10,7
3.0,11:53,Giants,Darius Slayton 5 yard pass from Eli Manning (Aldrick Rosas kick),10,14
,8:44,Dolphins,Jason Sanders 47 yard field goal,13,14
,6:20,Giants,"Safety, Patrick Laird tackled in end zone by Sam Beal",13,16
,5:17,Giants,Saquon Barkley 1 yard rush (Aldrick Rosas kick),13,23
4.0,14:54,Giants,Saquon Barkley 10 yard rush (Aldrick Rosas kick),13,30
,4:41,Giants,Javorius Allen 1 yard rush (Aldrick Rosas kick failed),13,36
,1:54,Dolphins,DeVante Parker 29 yard pass from Ryan Fitzpatrick (Jason Sanders kick),20,36
