Quarter,Time,Tm,Detail,JAX,PIT
1.0,4:23,Steelers,Rashard Mendenhall 8 yard rush (Shaun Suisham kick),0,7
2.0,13:40,Steelers,Mike Wallace 28 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,14
,10:58,Steelers,Shaun Suisham 21 yard field goal,0,17
,8:44,Jaguars,Josh Scobee 46 yard field goal,3,17
3.0,1:46,Jaguars,Jason Hill 18 yard pass from Blaine Gabbert (Josh Scobee kick),10,17
4.0,4:17,Jaguars,Josh Scobee 45 yard field goal,13,17
