Unnamed: 0,JAX,PIT
First Downs,16,15
Rush-Yds-TDs,30-133-0,32-185-1
Cmp-Att-Yd-TD-INT,12-26-109-1-0,12-23-200-1-0
Sacked-Yards,5-33,3-15
Net Pass Yards,76,185
Total Yards,209,370
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,4-22,8-65
Third Down Conv.,4-15,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,28:47,31:13
