Unnamed: 0,BAL,PIT
First Downs,23,16
Rush-Yds-TDs,33-103-1,18-63-0
Cmp-Att-Yd-TD-INT,21-31-256-3-2,19-42-205-1-2
Sacked-Yards,0-0,5-17
Net Pass Yards,256,188
Total Yards,359,251
Fumbles-Lost,1-1,1-1
Turnovers,3,3
Penalties-Yards,12-89,5-32
Third Down Conv.,6-12,2-14
Fourth Down Conv.,1-1,2-3
Time of Possession,35:22,24:38
