Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 66 yards, returned by Najeh Davenport for 28 yards (tackle by Corey Ivy)",0.000,1.070
1,14:52,1,10,PIT 32,0,0,Ben Roethlisberger left end for no gain (tackle by Bart Scott),1.070,0.530
1,14:15,2,10,PIT 32,0,0,Willie Parker left guard for 3 yards (tackle by Trevor Pryce and Haloti Ngata),0.530,0.230
1,13:34,3,7,PIT 35,0,0,Ben Roethlisberger pass incomplete short left intended for Santonio Holmes (defended by Terrell Suggs),0.230,-1.040
1,13:30,4,7,PIT 35,0,0,Chris Gardocki punts 40 yards,-1.040,-0.610
1,13:20,1,10,BAL 25,0,0,Steve McNair pass complete short left to Mark Clayton for 14 yards (tackle by Troy Polamalu),0.610,1.530
1,12:47,1,10,BAL 39,0,0,Jamal Lewis left guard for 1 yard (tackle by Aaron Smith),1.530,1.120
1,11:41,2,9,BAL 40,0,0,Jamal Lewis left tackle for 1 yard (tackle by Joey Porter and James Farrior),1.120,0.560
1,10:59,3,8,BAL 41,0,0,Steve McNair pass complete short middle to Mike Anderson for 4 yards (tackle by Troy Polamalu and James Farrior),0.560,-0.390
1,10:17,4,4,BAL 45,0,0,"Sam Koch punts 55 yards, touchback",-0.390,-0.280
1,10:09,1,10,PIT 20,0,0,Ben Roethlisberger pass complete short left to Hines Ward for 12 yards (tackle by Samari Rolle and Adalius Thomas),0.280,1.070
1,9:32,1,10,PIT 32,0,0,Ben Roethlisberger pass incomplete short left intended for Santonio Holmes (defended by Dawan Landry),1.070,0.530
1,9:28,2,10,PIT 32,0,0,Willie Parker right tackle for 6 yards (tackle by Terrell Suggs),0.530,0.630
1,8:47,3,4,PIT 38,0,0,Ben Roethlisberger pass incomplete short right intended for Santonio Holmes,0.630,-0.850
