Quarter,Time,Tm,Detail,NWE,DET
1.0,5:55,Lions,Matt Prater 38 yard field goal,0,3
2.0,14:12,Lions,Kenny Golladay 4 yard pass from Matthew Stafford (Matt Prater kick),0,10
,4:58,Lions,Matt Prater 25 yard field goal,0,13
,0:40,Patriots,Stephen Gostkowski 36 yard field goal,3,13
3.0,10:03,Patriots,James White 10 yard pass from Tom Brady (Stephen Gostkowski kick),10,13
,3:45,Lions,Marvin Jones 33 yard pass from Matthew Stafford (Matt Prater kick),10,20
4.0,12:44,Lions,Matt Prater 32 yard field goal,10,23
,1:56,Lions,Matt Prater 30 yard field goal,10,26
