Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
1,5:03,4,11,NWE 24,0,3,Ryan Allen punts 36 yards out of bounds,-1.770,-1.600
1,4:53,1,10,DET 40,0,3,Matthew Stafford pass complete short right to LeGarrette Blount for 8 yards (tackle by Devin McCourty and Kyle Van Noy),1.600,2.130
1,4:18,2,2,DET 48,0,3,"Kerryon Johnson left end for no gain (tackle by Jason McCourty). Penalty on Frank Ragnow: Offensive Holding, 10 yards (no play)",2.130,0.780
1,3:52,2,12,DET 38,0,3,Matthew Stafford pass complete short left to Luke Willson for 12 yards (tackle by Elandon Roberts),0.780,2.260
1,3:19,1,10,DET 50,0,3,Matthew Stafford pass complete short right to Marvin Jones for 5 yards (tackle by Jason McCourty),2.260,2.390
1,2:39,2,5,NWE 45,0,3,Kerryon Johnson left tackle for 9 yards (tackle by Ja'Whaun Bentley),2.390,3.180
1,1:55,1,10,NWE 36,0,3,Kerryon Johnson up the middle for 12 yards (tackle by Kyle Van Noy),3.180,3.970
1,1:14,1,10,NWE 24,0,3,LeGarrette Blount up the middle for no gain (tackle by Ja'Whaun Bentley and Lawrence Guy),3.970,3.430
1,0:29,2,10,NWE 24,0,3,Matthew Stafford pass complete short left to Marvin Jones for 15 yards (tackle by Ja'Whaun Bentley),3.430,5.140
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,NWE 9,0,3,Kerryon Johnson left tackle for 5 yards (tackle by Devin McCourty and Kyle Van Noy),5.140,5.340
2,14:17,2,4,NWE 4,0,9,"Matthew Stafford pass complete short right to Kenny Golladay for 4 yards, touchdown",5.340,7.000
2,14:12,,,NWE 15,0,10,Matt Prater kicks extra point good,0.000,0.000
2,14:12,,,DET 35,0,10,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
2,14:12,1,10,NWE 25,0,10,Sony Michel up the middle for 2 yards (tackle by Ricky Jean-Francois and Christian Jones),0.610,0.330
2,13:38,2,8,NWE 27,0,10,Tom Brady pass complete short left to Rex Burkhead for 7 yards (tackle by Jarrad Davis),0.330,0.560
2,13:12,3,1,NWE 34,0,10,Sony Michel right end for -1 yards (tackle by Ricky Jean-Francois),0.560,-1.180
2,12:41,4,2,NWE 33,0,10,"Ryan Allen punts 46 yards, returned by Jamal Agnew for 11 yards (tackle by Joe Cardona and Nate Ebner). Penalty on Nevin Lawson: Illegal Block Above the Waist, 10 yards",-1.180,-0.410
2,12:26,1,10,DET 22,0,10,LeGarrette Blount left end for 5 yards (tackle by Danny Shelton and Dont'a Hightower),0.410,0.540
2,11:47,2,5,DET 27,0,10,Matthew Stafford pass complete short right to Luke Willson for -2 yards (tackle by Elandon Roberts),0.540,-0.430
2,11:02,3,7,DET 25,0,10,Matthew Stafford pass complete short left to Marvin Jones for 16 yards (tackle by Keion Crossen),-0.430,1.660
2,10:16,1,10,DET 41,0,10,"Matthew Stafford pass incomplete deep right intended for Kenny Golladay. Penalty on J.C. Jackson: Defensive Holding, 5 yards (no play)",1.660,1.990
2,10:08,1,10,DET 46,0,10,"Penalty on NWE: Defensive Too Many Men on Field, 5 yards (no play)",1.990,2.720
2,10:08,1,5,NWE 49,0,10,Kerryon Johnson left end for 14 yards,2.720,3.250
2,9:28,1,10,NWE 35,0,10,Kerryon Johnson right end for 3 yards (tackle by Lawrence Guy),3.250,3.110
2,8:46,2,7,NWE 32,0,10,LeGarrette Blount up the middle for 4 yards (tackle by J.C. Jackson),3.110,2.940
2,8:04,3,3,NWE 28,0,10,Kerryon Johnson right end for 6 yards (tackle by Lawrence Guy),2.940,4.110
2,7:20,1,10,NWE 22,0,10,Matthew Stafford pass incomplete deep right intended for Marvin Jones,4.110,3.560
2,7:15,2,10,NWE 22,0,10,Matthew Stafford pass complete short right to Theo Riddick for 8 yards (tackle by Stephon Gilmore),3.560,4.150
2,6:35,3,2,NWE 14,0,10,Matthew Stafford pass complete short left to Kerryon Johnson for 5 yards (tackle by Ja'Whaun Bentley),4.150,5.140
2,5:56,1,9,NWE 9,0,10,LeGarrette Blount left tackle for 2 yards (tackle by Deatrich Wise),5.140,4.760
2,5:13,2,7,NWE 7,0,10,Matthew Stafford pass incomplete short right intended for Kenny Golladay,4.760,3.810
2,5:06,3,7,NWE 7,0,10,Matthew Stafford pass incomplete short middle intended for Marvin Jones,3.810,2.970
2,5:02,4,7,NWE 7,0,13,Matt Prater 25 yard field goal good,2.970,3.000
2,4:58,,,DET 35,0,13,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
2,4:58,1,10,NWE 25,0,13,Tom Brady pass complete short middle to Rob Gronkowski for 9 yards (tackle by Quandre Diggs),0.610,1.280
2,4:27,2,1,NWE 34,0,13,Tom Brady pass complete short right to James White for no gain (tackle by Jalen Reeves-Maybin),1.280,0.560
2,3:55,3,1,NWE 34,0,13,Sony Michel left tackle for 2 yards (tackle by Christian Jones),0.560,1.330
2,3:23,1,10,NWE 36,0,13,Tom Brady pass incomplete short left,1.330,0.790
2,3:16,2,10,NWE 36,0,13,Tom Brady pass complete short left to Rob Gronkowski for 15 yards (tackle by Tavon Wilson and Quandre Diggs),0.790,2.320
2,2:35,1,10,DET 49,0,13,James White up the middle for 5 yards (tackle by Ricky Jean-Francois),2.320,2.460
2,2:00,2,5,DET 44,0,13,Tom Brady pass complete short right to Rex Burkhead for 19 yards (tackle by Quandre Diggs),2.460,3.910
2,1:37,1,10,DET 25,0,13,Tom Brady pass complete short middle to Chris Hogan for 6 yards (tackle by Christian Jones),3.910,4.200
2,1:08,2,4,DET 19,0,13,Sony Michel up the middle for 3 yards (tackle by Tavon Wilson),4.200,4.060
2,0:51,3,1,DET 16,0,13,Sony Michel right end for -2 yards (tackle by Glover Quin and Tavon Wilson),4.060,2.350
2,0:44,,,,,,Timeout #1 by Detroit Lions,,
2,0:44,4,3,DET 18,3,13,Stephen Gostkowski 36 yard field goal good,2.350,3.000
2,0:40,,,NWE 35,3,13,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,0:40,1,10,DET 25,3,13,Matthew Stafford pass complete short middle to Golden Tate for 11 yards (tackle by Duron Harmon),0.610,1.330
2,0:32,,,,,,Timeout #2 by Detroit Lions,,
2,0:32,1,10,DET 36,3,13,Matthew Stafford pass complete short middle to Kenny Golladay for 9 yards (tackle by Jonathan Jones and Ja'Whaun Bentley),1.330,2.010
2,0:25,,,,,,Timeout #3 by Detroit Lions,,
2,0:25,2,1,DET 45,3,13,Matthew Stafford pass complete short right to T.J. Jones for 4 yards (tackle by Jonathan Jones),2.010,2.190
2,0:12,1,10,DET 49,3,13,Matthew Stafford spiked the ball,2.190,1.650
2,0:11,,,,,,Timeout #1 by New England Patriots,,
2,0:11,2,10,DET 49,3,13,Matthew Stafford pass complete short right to Kenny Golladay for 11 yards (tackle by Jonathan Jones),1.650,2.920
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,3,13,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DET 25,3,13,Kerryon Johnson up the middle for 7 yards (tackle by Devin McCourty),0.610,1.010
3,14:25,2,3,DET 32,3,13,LeGarrette Blount left tackle for -1 yards (tackle by Jason McCourty and Deatrich Wise),1.010,0.170
3,13:42,3,4,DET 31,3,13,Matthew Stafford pass deep middle intended for Luke Willson is intercepted by Ja'Whaun Bentley at NE-48 and returned for no gain,0.170,-2.130
3,13:34,1,10,NWE 48,3,13,Sony Michel left end for 12 yards (tackle by Christian Jones),2.130,2.920
3,13:09,1,10,DET 40,3,13,"Sony Michel left end for 2 yards (tackle by Nevin Lawson). Penalty on Nevin Lawson: Face Mask (15 Yards), 15 yards",2.920,4.040
3,12:44,1,10,DET 23,3,13,"Sony Michel up the middle for no gain (tackle by Nevin Lawson). Penalty on Trent Brown: Offensive Holding, 10 yards (no play)",4.040,3.380
3,12:20,1,20,DET 33,3,13,Tom Brady pass complete short middle to Rob Gronkowski for 19 yards (tackle by Glover Quin),3.380,4.950
3,11:41,2,1,DET 14,3,13,Tom Brady up the middle for 2 yards (tackle by A'Shawn Robinson),4.950,4.780
3,10:55,,,,,,Timeout #1 by New England Patriots,,
3,10:55,1,10,DET 12,3,13,Tom Brady pass incomplete short right intended for Rex Burkhead,4.780,4.100
3,10:50,2,10,DET 12,3,13,Sony Michel right end for 2 yards (tackle by Jarrad Davis and Da'Shawn Hand),4.100,3.480
3,10:10,3,8,DET 10,9,13,"Tom Brady pass complete short right to James White for 10 yards, touchdown",3.480,7.000
3,10:03,,,DET 15,10,13,Stephen Gostkowski kicks extra point good,0.000,0.000
3,10:03,,,NWE 35,10,13,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
3,10:03,1,10,DET 25,10,13,Matthew Stafford sacked by Deatrich Wise for -7 yards,0.610,-0.980
3,9:22,2,17,DET 18,10,13,Matthew Stafford pass complete short right to Theo Riddick for 8 yards (tackle by Dont'a Hightower and Kyle Van Noy),-0.980,-0.490
3,8:39,3,9,DET 26,10,13,Matthew Stafford pass complete short left to Kenny Golladay for 16 yards (tackle by Jason McCourty),-0.490,1.730
3,8:01,1,10,DET 42,10,13,Matthew Stafford pass complete short right to Golden Tate for 6 yards (tackle by Jason McCourty),1.730,2.000
3,7:25,2,4,DET 48,10,13,Kerryon Johnson left tackle for 3 yards (tackle by Danny Shelton),2.000,1.690
3,6:41,3,1,NWE 49,10,13,Matthew Stafford pass complete short left to Kerryon Johnson for 4 yards (tackle by Duron Harmon),1.690,2.590
3,5:58,1,10,NWE 45,10,13,Matthew Stafford pass complete short right to Golden Tate for 5 yards (tackle by Kyle Van Noy),2.590,2.720
3,5:15,2,5,NWE 40,10,13,Kerryon Johnson left tackle for 4 yards (tackle by Lawrence Guy),2.720,2.540
3,4:33,3,1,NWE 36,10,13,LeGarrette Blount up the middle for 3 yards (tackle by Kyle Van Noy),2.540,3.380
3,3:53,1,10,NWE 33,10,19,"Matthew Stafford pass complete deep right to Marvin Jones for 33 yards, touchdown",3.380,7.000
3,3:45,,,NWE 15,10,20,Matt Prater kicks extra point good,0.000,0.000
3,3:45,,,DET 35,10,20,"Sam Martin kicks off 69 yards, returned by Cordarrelle Patterson for no gain (tackle by Marquis Flowers)",0.000,0.870
3,3:38,1,10,NWE 29,10,20,Tom Brady pass complete short middle to Chris Hogan for 9 yards (tackle by Jarrad Davis),0.870,1.540
3,3:06,2,1,NWE 38,10,20,Sony Michel up the middle for 7 yards (tackle by A'Shawn Robinson),1.540,1.930
3,2:31,1,10,NWE 45,10,20,Tom Brady pass incomplete short left intended for Sony Michel,1.930,1.380
3,2:26,2,10,NWE 45,10,20,Tom Brady pass incomplete short left intended for Sony Michel,1.380,0.700
3,2:21,3,10,NWE 45,10,20,Tom Brady pass incomplete deep right intended for Rob Gronkowski,0.700,-0.390
3,2:12,4,10,NWE 45,10,20,"Ryan Allen punts 46 yards, returned by Jamal Agnew for 16 yards (tackle by Matthew Slater)",-0.390,-0.610
3,1:58,1,10,DET 25,10,20,Kerryon Johnson left tackle for 15 yards (tackle by Duron Harmon),0.610,1.600
3,1:14,1,10,DET 40,10,20,Kerryon Johnson right tackle for 3 yards (tackle by Lawrence Guy),1.600,1.460
3,0:28,2,7,DET 43,10,20,Matthew Stafford pass complete short left to Golden Tate for 25 yards (tackle by Duron Harmon),1.460,3.450
Quarter,Time,Down,ToGo,Location,NWE,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NWE 32,10,20,LeGarrette Blount up the middle for 13 yards (tackle by Duron Harmon and Jason McCourty),3.450,4.310
4,14:15,1,10,NWE 19,10,20,Matthew Stafford pass complete short right to Nick Bellore for -5 yards (tackle by Elandon Roberts),4.310,3.090
4,13:34,2,15,NWE 24,10,20,Matthew Stafford pass incomplete short right intended for Kerryon Johnson,3.090,2.410
4,13:29,3,15,NWE 24,10,20,Matthew Stafford right end for 10 yards (tackle by Duron Harmon),2.410,2.560
4,12:48,4,5,NWE 14,10,23,Matt Prater 32 yard field goal good,2.560,3.000
4,12:44,,,DET 35,10,23,"Sam Martin kicks off 65 yards, returned by Cordarrelle Patterson for no gain (tackle by Tracy Walker)",0.000,0.340
4,12:37,1,10,NWE 21,10,23,"Tom Brady pass incomplete deep middle. Penalty on Tom Brady: Intentional Grounding, 10 yards",0.340,-1.510
4,12:29,2,20,NWE 11,10,23,Tom Brady pass complete short left to Cordarrelle Patterson for 12 yards,-1.510,-0.630
4,11:52,3,8,NWE 23,10,23,Tom Brady sacked by Eli Harold for -3 yards,-0.630,-2.030
4,11:14,4,11,NWE 20,10,23,"Ryan Allen punts 51 yards, returned by Jamal Agnew for 1 yard (tackle by Nate Ebner). Penalty on Tracy Walker: Illegal Block Above the Waist, 10 yards",-2.030,-0.280
4,11:02,1,10,DET 20,10,23,LeGarrette Blount up the middle for 4 yards (tackle by Elandon Roberts and Malcom Brown),0.280,0.270
4,10:19,2,6,DET 24,10,23,Kerryon Johnson right tackle for no gain (tackle by Malcom Brown),0.270,-0.430
4,9:32,3,6,DET 24,10,23,Matthew Stafford pass incomplete short right intended for T.J. Jones,-0.430,-1.770
4,9:26,4,6,DET 24,10,23,"Sam Martin punts 50 yards, fair catch by Cyrus Jones at NE-26",-1.770,-0.670
4,9:18,1,10,NWE 26,10,23,Sony Michel right tackle for 9 yards (tackle by Nevin Lawson and Glover Quin),0.670,1.350
4,8:48,2,1,NWE 35,10,23,Sony Michel left tackle for 6 yards (tackle by Jalen Reeves-Maybin),1.350,1.660
4,8:16,1,10,NWE 41,10,23,Sony Michel up the middle for 2 yards (tackle by Devon Kennard),1.660,1.390
4,7:39,2,8,NWE 43,10,23,"Tom Brady pass deep middle intended for Phillip Dorsett is intercepted by Darius Slay at DET-15 and returned for 19 yards. Penalty on Tavon Wilson: Illegal Blindside Block, 15 yards",1.390,-0.150
4,7:23,1,10,DET 19,10,23,Kerryon Johnson up the middle for 4 yards (tackle by Dont'a Hightower),0.150,0.210
4,6:41,2,6,DET 23,10,23,Matthew Stafford pass incomplete short left intended for Golden Tate,0.210,-0.550
4,6:37,3,6,DET 23,10,23,Matthew Stafford pass complete short middle to Theo Riddick for 20 yards (tackle by Duron Harmon),-0.550,1.800
4,5:51,1,10,DET 43,10,23,LeGarrette Blount right end for 1 yard (tackle by Elandon Roberts),1.800,1.390
4,5:08,2,9,DET 44,10,23,Kerryon Johnson left tackle for 1 yard (tackle by Deatrich Wise),1.390,0.830
4,5:02,,,,,,Timeout #2 by New England Patriots,,
4,5:02,3,8,DET 45,10,23,"Matthew Stafford pass complete short right to Kenny Golladay for 14 yards (tackle by Jason McCourty). Penalty on Taylor Decker: Offensive Holding, 10 yards (no play)",0.830,-0.490
4,4:52,3,18,DET 35,10,23,Kerryon Johnson left tackle for 10 yards (tackle by Devin McCourty and Stephon Gilmore),-0.490,-0.390
4,4:43,,,,,,Timeout #3 by New England Patriots,,
4,4:43,4,8,DET 45,10,23,Sam Martin punts 40 yards out of bounds,-0.390,0.220
4,4:36,1,10,NWE 15,10,23,Tom Brady pass complete short right to Rob Gronkowski for 8 yards (tackle by Glover Quin),-0.220,0.480
4,4:07,2,2,NWE 23,10,23,Tom Brady sacked by Eli Harold for -10 yards,0.480,-1.640
4,3:29,3,12,NWE 13,10,23,Tom Brady pass incomplete deep middle intended for Phillip Dorsett (defended by Jarrad Davis),-1.640,-2.490
4,3:23,4,12,NWE 13,10,23,Tom Brady pass incomplete deep right intended for Phillip Dorsett,-2.490,-4.710
4,3:16,1,10,NWE 13,10,23,LeGarrette Blount right tackle for 1 yard (tackle by Danny Shelton),4.710,4.220
4,2:31,2,9,NWE 12,10,23,LeGarrette Blount left tackle for 2 yards (tackle by Elandon Roberts and Lawrence Guy). Penalty on Graham Glasgow: Offensive Holding (Declined),4.220,3.650
4,2:25,3,7,NWE 10,10,23,"LeGarrette Blount left end for -2 yards. LeGarrette Blount fumbles, recovered by Nick Bellore at NE-12 (tackle by Devin McCourty)",3.650,2.630
4,2:00,4,9,NWE 12,10,26,Matt Prater 30 yard field goal good,2.630,3.000
4,1:56,,,DET 35,10,26,"Sam Martin kicks off 63 yards, returned by Cordarrelle Patterson for no gain (tackle by Miles Killebrew). Penalty on James Develin: Illegal Block Above the Waist, 8 yards",0.000,-0.380
4,1:48,1,10,NWE 8,10,26,James White up the middle for 15 yards (tackle by Tracy Walker),-0.380,0.480
4,1:27,1,10,NWE 23,10,26,James White left tackle for 4 yards (tackle by Eli Harold),0.480,0.470
4,1:10,2,6,NWE 27,10,26,James White up the middle for 13 yards (tackle by Romeo Okwara),0.470,1.600
4,0:48,1,10,NWE 40,10,26,Tom Brady pass complete deep middle to Chris Hogan for 16 yards (tackle by Jamal Agnew),1.600,2.650
4,0:25,1,10,DET 44,10,26,Tom Brady pass complete short right to James White for 4 yards (tackle by Jarrad Davis),2.650,2.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
