Unnamed: 0,NWE,DET
First Downs,12,25
Rush-Yds-TDs,19-89-0,33-159-0
Cmp-Att-Yd-TD-INT,14-26-133-1-1,27-36-262-2-1
Sacked-Yards,2-13,1-7
Net Pass Yards,120,255
Total Yards,209,414
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,5-38,6-70
Third Down Conv.,2-9,7-14
Fourth Down Conv.,0-1,0-0
Time of Possession,20:45,39:15
