Quarter,Time,Tm,Detail,ARI,SFO
1.0,3:53,49ers,Vernon Davis 5 yard pass from Alex Smith (Joe Nedney kick),0,7
,0:33,49ers,Joe Nedney 37 yard field goal,0,10
2.0,0:52,49ers,Michael Crabtree 35 yard pass from Alex Smith (Joe Nedney kick),0,17
3.0,5:46,Cardinals,Neil Rackers 48 yard field goal,3,17
4.0,14:03,Cardinals,Beanie Wells 1 yard rush (Neil Rackers kick failed),9,17
,9:22,49ers,Frank Gore 2 yard rush (Joe Nedney kick),9,24
