Unnamed: 0,DAL,NYG
First Downs,21,22
Rush-Yds-TDs,24-110-2,29-126-0
Cmp-Att-Yd-TD-INT,20-34-257-0-2,24-36-270-2-0
Sacked-Yards,1-2,0-0
Net Pass Yards,255,270
Total Yards,365,396
Fumbles-Lost,1-0,2-1
Turnovers,2,1
Penalties-Yards,7-58,9-94
Third Down Conv.,6-11,6-12
Fourth Down Conv.,0-0,0-1
Time of Possession,26:39,33:21
