Unnamed: 0,CLE,BAL
First Downs,13,15
Rush-Yds-TDs,28-91-0,28-106-1
Cmp-Att-Yd-TD-INT,15-26-146-0-1,17-30-142-0-0
Sacked-Yards,3-20,1-8
Net Pass Yards,126,134
Total Yards,217,240
Fumbles-Lost,3-1,1-1
Turnovers,2,1
Penalties-Yards,9-55,3-25
Third Down Conv.,5-13,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,32:10,27:50
