Unnamed: 0,NYG,SEA
First Downs,25,17
Rush-Yds-TDs,28-166-0,34-127-1
Cmp-Att-Yd-TD-INT,29-53-344-2-1,21-37-249-2-1
Sacked-Yards,3-20,3-21
Net Pass Yards,324,228
Total Yards,490,355
Fumbles-Lost,1-0,4-1
Turnovers,1,2
Penalties-Yards,16-114,8-65
Third Down Conv.,8-19,6-19
Fourth Down Conv.,0-0,1-1
Time of Possession,39:21,32:54
