Quarter,Time,Tm,Detail,NYG,SEA
1,0:43,Seahawks,Joe Jurevicius 35 yard pass from Matt Hasselbeck (Josh Brown kick),0,7
2,4:23,Giants,Jay Feely 39 yard field goal,3,7
,1:07,Giants,Jeremy Shockey 7 yard pass from Eli Manning (Jay Feely kick),10,7
3,10:20,Giants,Jay Feely 43 yard field goal,13,7
,4:36,Seahawks,Joe Jurevicius 16 yard pass from Matt Hasselbeck (Josh Brown kick),13,14
4,4:33,Seahawks,Shaun Alexander 4 yard rush (Josh Brown kick),13,21
,1:59,Giants,Amani Toomer 18 yard pass from Eli Manning (Jeremy Shockey pass from Eli Manning),21,21
OT,2:45,Seahawks,Josh Brown 36 yard field goal,21,24
