Unnamed: 0,STL,ATL
First Downs,14,22
Rush-Yds-TDs,15-30-1,38-242-2
Cmp-Att-Yd-TD-INT,24-31-285-1-1,14-19-179-1-0
Sacked-Yards,5-35,1-5
Net Pass Yards,250,174
Total Yards,280,416
Fumbles-Lost,1-1,0-0
Turnovers,2,0
Penalties-Yards,10-75,6-51
Third Down Conv.,6-14,3-9
Fourth Down Conv.,2-2,1-1
Time of Possession,30:09,29:51
