Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 62 yards, returned by Allen Rossum for 26 yards (tackle by Justin Lucas)",0.000,1.200
1,14:54,1,10,ATL 34,0,0,Michael Vick pass complete to Dez White for 6 yards (tackle by Adam Archuleta),1.200,1.470
1,14:18,2,4,ATL 40,0,0,"Penalty on Alge Crumpler: False Start, 5 yards (no play)",1.470,0.790
1,14:04,2,9,ATL 35,0,0,Warrick Dunn right tackle for 5 yards (tackle by Bryce Fisher),0.790,0.760
1,13:26,3,4,ATL 40,0,0,Michael Vick up the middle for 3 yards (tackle by Pisa Tinoisamoa),0.760,-0.520
1,12:54,4,1,ATL 43,0,0,"Chris Mohr punts 39 yards, returned by Shaun McDonald for -2 yards (tackle by Brian Finneran)",-0.520,0.140
1,12:44,1,10,STL 16,0,0,Marshall Faulk left tackle for -2 yards (tackle by Keith Brooking),-0.140,-0.890
1,12:05,2,12,STL 14,0,0,Marc Bulger pass complete to Isaac Bruce for 11 yards,-0.890,-0.200
1,11:35,3,1,STL 25,0,0,Marshall Faulk up the middle for 2 yards (tackle by Roderick Coleman),-0.200,0.740
1,10:55,1,10,STL 27,0,0,"Marc Bulger pass complete to Torry Holt for 14 yards (tackle by Chris Draft). Penalty on Grant Williams: Ineligible Downfield Pass, 5 yards (no play)",0.740,0.410
1,10:26,1,15,STL 22,0,0,Marshall Faulk right tackle for 1 yard (tackle by Patrick Kerney),0.410,-0.340
1,9:42,2,14,STL 23,0,0,Marc Bulger pass complete to Torry Holt for 2 yards (tackle by Kevin Mathis),-0.340,-0.760
1,8:58,3,12,STL 25,0,0,Marc Bulger pass complete to Marshall Faulk for 1 yard (tackle by Demorrio Williams),-0.760,-1.630
1,8:22,4,11,STL 26,0,0,"Sean Landeta punts 46 yards (tackle by Arlen Harris). Penalty on Aaron Beasley: Offensive Holding, 10 yards",-1.630,-0.040
1,8:10,1,10,ATL 18,0,0,Michael Vick pass complete to Justin Griffith for 62 yards (tackle by DeJuan Groce),0.040,4.240
1,7:25,1,10,STL 20,0,0,Warrick Dunn up the middle for 6 yards (tackle by DeJuan Groce),4.240,4.640
1,6:44,2,4,STL 14,0,0,Michael Vick up the middle for 10 yards (tackle by Aeneas Williams),4.640,6.280
1,6:07,1,4,STL 4,0,0,Warrick Dunn right tackle for 1 yard (tackle by Erik Flowers),6.280,5.530
1,5:33,2,3,STL 3,0,6,"Michael Vick pass complete to Justin Griffith for 3 yards, touchdown",5.530,7.000
1,,,,STL 2,0,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,ATL 30,0,7,"Jay Feely kicks onside 14 yards, recovered by Jay Feely (onside kick successful)",0.000,1.860
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
1,5:26,1,10,ATL 44,0,7,Warrick Dunn right end for 4 yards (tackle by Kevin Garrett and Pisa Tinoisamoa),1.860,1.860
1,4:53,2,6,ATL 48,0,7,Michael Vick pass incomplete intended for Dez White,1.860,1.160
1,4:46,3,6,ATL 48,0,7,Michael Vick pass incomplete intended for Peerless Price,1.160,-0.190
1,4:41,4,6,ATL 48,0,7,"Chris Mohr punts 52 yards, touchback",-0.190,-0.280
1,4:32,1,10,STL 20,0,7,Marshall Faulk up the middle for 3 yards (tackle by Keith Brooking and Roderick Coleman),0.280,0.140
1,3:52,2,7,STL 23,0,7,"Penalty on Brandon Manumaleuna: False Start, 5 yards (no play)",0.140,-0.630
1,3:29,2,12,STL 18,0,7,Marc Bulger pass complete to Torry Holt for 7 yards (tackle by Cory Hall),-0.630,-0.300
1,2:50,3,5,STL 25,0,7,Marc Bulger pass complete to Isaac Bruce for 11 yards (tackle by Keith Brooking),-0.300,1.330
1,2:19,1,10,STL 36,0,7,Marshall Faulk left tackle for -1 yards (tackle by Chris Draft),1.330,0.660
1,1:38,2,11,STL 35,0,7,Marc Bulger pass complete to Isaac Bruce for 5 yards (tackle by Kevin Mathis),0.660,0.630
1,0:53,3,6,STL 40,0,7,Marc Bulger sacked by Ed Jasper for -8 yards,0.630,-1.240
1,0:21,4,14,STL 32,0,7,"Sean Landeta punts 56 yards, returned by Allen Rossum for 13 yards (tackle by Stephen Trejo)",-1.240,-0.610
1,0:09,1,10,ATL 25,0,7,Michael Vick right end for 12 yards (tackle by Adam Archuleta),0.610,1.400
Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 37,0,7,Warrick Dunn right tackle for 1 yard (tackle by Bryce Fisher),1.400,0.990
2,14:20,2,9,ATL 38,0,7,Michael Vick pass complete to Brian Finneran for 9 yards (tackle by Pisa Tinoisamoa),0.990,2.060
2,13:48,1,10,ATL 47,0,7,Michael Vick pass complete to Alge Crumpler for 9 yards (tackle by Kevin Garrett),2.060,2.730
2,13:10,2,1,STL 44,0,7,Warrick Dunn up the middle for 3 yards (tackle by Adam Archuleta),2.730,2.850
2,12:35,1,10,STL 41,0,7,Peerless Price right end for 9 yards (tackle by Adam Archuleta),2.850,3.520
2,11:43,2,1,STL 32,0,7,Michael Vick pass complete to Justin Griffith for 7 yards (tackle by Pisa Tinoisamoa),3.520,3.910
2,11:00,1,10,STL 25,0,7,T.J. Duckett right tackle for 9 yards (tackle by Kevin Garrett),3.910,4.750
2,10:16,2,1,STL 16,0,7,Michael Vick for 14 yards (tackle by Jerametrius Butler),4.750,6.740
2,9:46,1,2,STL 2,0,13,"Warrick Dunn right tackle for 2 yards, touchdown",6.740,7.000
2,,,,STL 2,0,14,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,0,14,"Jay Feely kicks off 70 yards, returned by Steven Jackson for 23 yards (tackle by Aaron Beasley). Penalty on Joey Goodspeed: Offensive Holding, 10 yards",0.000,-0.320
2,9:36,1,10,STL 13,0,14,"Penalty on Chris Dishman: False Start, 5 yards (no play)",-0.320,-0.570
2,9:36,1,15,STL 8,0,14,Marc Bulger pass complete to Torry Holt for 5 yards (tackle by Jason Webster),-0.570,-0.770
2,9:10,2,10,STL 13,0,14,Marc Bulger pass complete to Marshall Faulk for 7 yards (tackle by Chad Lavalais),-0.770,-0.590
