Unnamed: 0,WAS,CHI
First Downs,15,25
Rush-Yds-TDs,18-44-0,40-191-1
Cmp-Att-Yd-TD-INT,17-27-245-3-0,19-32-249-2-1
Sacked-Yards,1-3,2-11
Net Pass Yards,242,238
Total Yards,286,429
Fumbles-Lost,0-0,3-1
Turnovers,0,2
Penalties-Yards,7-50,5-33
Third Down Conv.,1-9,9-17
Fourth Down Conv.,0-0,2-2
Time of Possession,22:06,37:54
