Quarter,Time,Down,ToGo,Location,PIT,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,Jake Luton pass complete deep right to Keelan Cole for 17 yards (tackle by Joe Haden),0.610,1.730
1,14:18,1,10,JAX 42,0,0,James Robinson up the middle for 5 yards (tackle by Cameron Heyward and Terrell Edmunds),1.730,1.860
1,13:39,2,5,JAX 47,0,0,James Robinson up the middle for 3 yards (tackle by T.J. Watt),1.860,1.550
1,13:02,3,2,JAX 50,0,0,Jake Luton pass complete short right to James Robinson for 15 yards (tackle by Joe Haden),1.550,3.250
1,12:29,1,10,PIT 35,0,0,James Robinson up the middle for 12 yards (tackle by Vince Williams and Minkah Fitzpatrick),3.250,4.040
1,11:52,1,10,PIT 23,0,0,James Robinson up the middle for no gain (tackle by Vince Williams),4.040,3.500
1,11:11,2,10,PIT 23,0,0,Jake Luton pass incomplete deep left,3.500,2.810
1,11:06,3,10,PIT 23,0,0,Jake Luton pass incomplete deep right intended for DJ Chark,2.810,1.930
1,11:02,4,10,PIT 23,0,3,Chase McLaughlin 41 yard field goal good,1.930,3.000
1,10:57,,,JAX 35,0,3,"Keelan Cole kicks onside 11 yards, returned by Marcus Allen for no gain (tackle by Andrew Wingard)",0.000,2.520
1,10:56,1,10,JAX 46,0,3,Ben Roethlisberger pass complete short right to Diontae Johnson for 7 yards (tackle by Joe Schobert),2.520,2.920
1,10:20,2,3,JAX 39,0,3,James Conner right end for 5 yards (tackle by Jarrod Wilson),2.920,3.310
1,9:43,1,10,JAX 34,0,3,Ben Roethlisberger pass incomplete short right intended for Chase Claypool (defended by Doug Costin),3.310,2.770
1,9:39,2,10,JAX 34,0,3,Ben Roethlisberger pass complete short right to Diontae Johnson for 7 yards (tackle by Chris Claybrooks),2.770,3.010
1,8:55,3,3,JAX 27,0,3,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson,3.010,1.770
1,8:51,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,8:51,4,3,JAX 27,0,3,Chris Boswell 45 yard field goal no good,1.770,-1.330
1,8:47,1,10,JAX 36,0,3,James Robinson up the middle for no gain (tackle by Bud Dupree),1.330,0.790
1,8:07,2,10,JAX 36,0,3,Jake Luton pass complete short right to Keelan Cole for 9 yards (tackle by Robert Spillane),0.790,1.290
1,7:25,3,1,JAX 45,0,3,James Robinson up the middle for 2 yards (tackle by Sean Davis),1.290,2.060
1,6:47,1,10,JAX 47,0,3,Jake Luton pass incomplete deep middle intended for DJ Chark,2.060,1.520
1,6:41,2,10,JAX 47,0,3,Jake Luton pass incomplete short right,1.520,0.830
1,6:38,3,10,JAX 47,0,3,Jake Luton pass incomplete short left intended for Dare Ogunbowale,0.830,-0.260
1,6:34,4,10,JAX 47,0,3,"Logan Cooke punts 48 yards, returned by Ray-Ray McCloud for no gain (tackle by Chris Claybrooks)",-0.260,0.380
1,6:24,1,10,PIT 5,0,3,James Conner up the middle for 25 yards (tackle by Tre Herndon),-0.380,0.940
1,5:53,1,10,PIT 30,0,3,James Conner right end for 3 yards (tackle by Dawuane Smoot),0.940,0.800
1,5:13,2,7,PIT 33,0,3,Ben Roethlisberger pass complete short left to Diontae Johnson for 8 yards (tackle by Tre Herndon),0.800,1.660
1,4:34,1,10,PIT 41,0,3,James Conner up the middle for 3 yards (tackle by Joe Schobert),1.660,1.530
1,3:54,2,7,PIT 44,0,3,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 1 yard (tackle by Joe Schobert),1.530,0.960
1,3:10,3,6,PIT 45,0,3,Ben Roethlisberger pass complete short right to Chase Claypool for 10 yards (tackle by Chris Claybrooks),0.960,2.590
1,2:35,1,10,JAX 45,0,3,Benny Snell up the middle for no gain (tackle by Joe Schobert and Myles Jack),2.590,2.040
1,1:57,2,10,JAX 45,0,3,Benny Snell up the middle for 3 yards (tackle by D.J. Hayden),2.040,1.750
1,1:17,3,7,JAX 42,0,3,Ben Roethlisberger pass incomplete short right intended for Eric Ebron (defended by Jarrod Wilson),1.750,0.460
1,1:11,4,7,JAX 42,0,3,Jordan Berry punts 33 yards out of bounds,0.460,0.380
1,1:02,1,10,JAX 9,0,3,James Robinson up the middle for 5 yards (tackle by Robert Spillane),-0.380,-0.390
1,0:25,2,5,JAX 14,0,3,Jake Luton pass incomplete short right,-0.390,-0.840
1,0:18,3,5,JAX 14,0,3,Jake Luton pass incomplete short left intended for Keelan Cole (defended by Bud Dupree),-0.840,-2.470
1,0:13,4,5,JAX 14,0,3,"Logan Cooke punts 67 yards, returned by Ray-Ray McCloud for 5 yards (tackle by Nathan Cottrell)",-2.470,-0.540
Quarter,Time,Down,ToGo,Location,PIT,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PIT 24,0,3,Ben Roethlisberger pass complete deep left to Diontae Johnson for 22 yards (tackle by Tre Herndon),0.540,1.990
2,14:20,1,10,PIT 46,0,3,James Conner right end for 2 yards (tackle by K'Lavon Chaisson),1.990,1.720
2,13:41,2,8,PIT 48,0,3,Ben Roethlisberger pass complete short right to Chase Claypool for 10 yards,1.720,2.790
2,13:08,1,10,JAX 42,0,3,Ben Roethlisberger pass incomplete deep left intended for Chase Claypool,2.790,2.240
2,13:02,2,10,JAX 42,0,3,Ben Roethlisberger pass complete short left to James Conner for 14 yards (tackle by Joe Schobert),2.240,3.710
2,12:14,1,10,JAX 28,0,3,Anthony McFarland up the middle for 1 yard (tackle by Myles Jack),3.710,3.300
2,11:34,2,9,JAX 27,0,3,Anthony McFarland up the middle for 1 yard (tackle by Chris Claybrooks),3.300,2.740
2,10:56,3,8,JAX 26,0,3,Ben Roethlisberger pass incomplete short left intended for Diontae Johnson (defended by Daniel Thomas),2.740,1.740
2,10:50,4,8,JAX 26,3,3,Chris Boswell 44 yard field goal good,1.740,3.000
2,10:45,,,PIT 35,3,3,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,10:45,1,10,JAX 25,3,3,James Robinson up the middle for 1 yard (tackle by Vince Williams),0.610,0.200
2,10:08,2,9,JAX 26,3,3,Jake Luton pass incomplete short left intended for Chris Conley,0.200,-0.490
2,10:04,3,9,JAX 26,3,3,Jake Luton pass incomplete deep left intended for Chris Conley,-0.490,-1.630
2,9:57,4,9,JAX 26,3,3,"Logan Cooke punts 45 yards, fair catch by Ray-Ray McCloud at PIT-29",-1.630,-0.870
2,9:49,1,10,PIT 29,3,3,"Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 5 yards (tackle by Tre Herndon). Penalty on Myles Jack: Lowering the Head to Initiate Contact, 15 yards",0.870,2.190
2,9:30,1,10,PIT 49,3,3,James Conner up the middle for 1 yard (tackle by Joe Schobert),2.190,1.780
2,8:56,2,9,PIT 50,3,3,Ben Roethlisberger pass complete short right to Diontae Johnson for 4 yards (tackle by Chris Claybrooks),1.780,1.620
2,8:17,3,5,JAX 46,3,3,Ben Roethlisberger pass complete short left to James Washington for 12 yards (tackle by Tre Herndon),1.620,3.310
2,7:42,1,10,JAX 34,3,3,Ray-Ray McCloud up the middle for 3 yards (tackle by Daniel Ekuale and Joe Schobert),3.310,3.180
2,7:07,2,7,JAX 31,9,3,"Ben Roethlisberger pass complete deep right to Chase Claypool for 31 yards, touchdown",3.180,7.000
2,7:00,,,JAX 15,10,3,Chris Boswell kicks extra point good,0.000,0.000
2,7:00,,,PIT 35,10,3,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,7:00,1,10,JAX 25,10,3,Jake Luton pass complete short left to DJ Chark for -4 yards (tackle by Steven Nelson and Cameron Heyward),0.610,-0.480
2,6:19,2,14,JAX 21,10,3,"James Robinson right end for 18 yards (tackle by Minkah Fitzpatrick). Penalty on Steven Nelson: Unnecessary Roughness, 15 yards",-0.480,2.520
2,5:54,1,10,PIT 46,10,3,James Robinson left end for 3 yards (tackle by Olasunkanmi Adeniyi),2.520,2.380
2,5:17,2,7,PIT 43,10,3,Jake Luton pass complete short left to DJ Chark for 18 yards (tackle by Minkah Fitzpatrick and Mike Hilton),2.380,3.910
2,4:36,1,10,PIT 25,10,3,Jake Luton pass complete short right to Chris Conley for 13 yards (tackle by Minkah Fitzpatrick),3.910,4.780
2,3:50,1,10,PIT 12,10,3,James Robinson up the middle for 1 yard (tackle by Cameron Heyward),4.780,4.270
2,3:09,2,9,PIT 11,10,3,Jake Luton pass short right (defended by Tyson Alualu) intended for Tyler Eifert is intercepted by Minkah Fitzpatrick at PIT-2 and returned for 37 yards,4.270,-1.530
