Quarter,Time,Tm,Detail,PIT,JAX
1.0,10:57,Jaguars,Chase McLaughlin 41 yard field goal,0,3
2.0,10:45,Steelers,Chris Boswell 44 yard field goal,3,3
,7:00,Steelers,Chase Claypool 31 yard pass from Ben Roethlisberger (Chris Boswell kick),10,3
,0:44,Steelers,Benny Snell Jr. 1 yard rush (Chris Boswell kick),17,3
4.0,10:21,Steelers,Chris Boswell 47 yard field goal,20,3
,6:40,Steelers,Eric Ebron 20 yard pass from Ben Roethlisberger (Chris Boswell kick),27,3
