Unnamed: 0,PIT,JAX
First Downs,23,14
Rush-Yds-TDs,27-106-1,17-73-0
Cmp-Att-Yd-TD-INT,32-46-267-2-1,16-37-151-0-4
Sacked-Yards,0-0,2-18
Net Pass Yards,267,133
Total Yards,373,206
Fumbles-Lost,0-0,1-0
Turnovers,1,4
Penalties-Yards,6-42,8-105
Third Down Conv.,7-17,4-13
Fourth Down Conv.,1-1,0-1
Time of Possession,36:29,23:31
