Quarter,Time,Tm,Detail,JAX,DEN
1.0,8:17,Broncos,Noah Fant 25 yard pass from Joe Flacco (Brandon McManus kick),0,7
,3:13,Jaguars,Josh Lambo 25 yard field goal,3,7
2.0,13:39,Broncos,Courtland Sutton 7 yard pass from Joe Flacco (Brandon McManus kick),3,14
,4:16,Broncos,Brandon McManus 33 yard field goal,3,17
,0:08,Jaguars,Josh Lambo 40 yard field goal,6,17
3.0,4:36,Jaguars,Ryquell Armstead 7 yard pass from Gardner Minshew II (Josh Lambo kick),13,17
,1:10,Jaguars,James O'Shaughnessy 18 yard pass from Gardner Minshew II (Josh Lambo kick),20,17
4.0,2:54,Jaguars,Josh Lambo 34 yard field goal,23,17
,1:32,Broncos,Courtland Sutton 8 yard pass from Joe Flacco (Brandon McManus kick),23,24
,0:00,Jaguars,Josh Lambo 33 yard field goal,26,24
