Unnamed: 0,JAX,DEN
First Downs,25,19
Rush-Yds-TDs,38-269-0,16-68-0
Cmp-Att-Yd-TD-INT,19-33-213-2-0,22-38-303-3-1
Sacked-Yards,5-27,0-0
Net Pass Yards,186,303
Total Yards,455,371
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,12-104,5-48
Third Down Conv.,4-14,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,39:12,20:48
